 | :8 노라 | :2 청무 노네 :8 청임 | :0 청중 | :8 느니 | :2 청임 떠이어표 :8 니나* | :2 청중 :6 노라 :8 청협 흘림표 | :2 청황 :8 니나* | :2 청임 :8 청황 노니로 | :2 청중 :8 느니 
 :0 청임 떠이어표 |  |  |  | :8 니 | :0 청임 떠이어표 |  |  | :8 노 | :2 청임 떠이어표 :8 니나* 
 :2 청중 :6 노라 :8 청협 | :0 청황 | :2 청협 :6 니나* :8 청황 | :0 청중 |  | :0 청중 | :8 청임 | :2 청무 :8 노라 | :0 청임 떠이어표 | :8 니나* 
 :0 청중 | :8 청임 | :2 청협 노니로 :5 청황 | :2 청임 :8 같은음표 나니나 | :2 청중 :6 노라 :8 청협 | :1 임 노니로 :3 청황 | :8 니나* | :0 청중 | :2 같은음표 :6 노라 :8 청협 | :2 청황 노니로 :5 청중 
 :0 청임 떠이어표 |  | :0 청무 | :0 청임 | :8 니 | :2 청임 :8 니나* | :2 청중 :8 느니 | :2 청임 :8 같은음표 니레 | :2 청무 :8 노 | :2 청협 :5 청황 
 :0 청임 | :6 노 :8 청협 | :0 청임 떠이어표 | :0 청임 니레 | :8 니 | :2 청임 떠이어표 :8 니나* | :0 청중 | :2 청무 노네 :8 노라 | :0 청임 떠이어표 | :8 니나* 
 :0 청중 | :8 청임 | :2 청협 노니로 :5 청황 | :2 청임 :8 같은음표 나니나 | :2 청중 :6 노라 :8 청협 | :1 임 노니로 :3 청황 | :8 니나* | :0 청중 | :2 같은음표 :6 노라 :8 청협 | :2 청황 노니로 :5 청중 
 :0 청무 노네 | :0 - 흘림표 | :0 청임 | :0 청임 니레 | :8 니 | :2 청임 떠이어표 :8 니나* | :2 청중 :8 느니 | :2 청임 :8 같은음표 니레 | :2 청무 :8 노 | :2 청협 :5 청황 
 :0 청임 | :6 노 :8 청협 | :0 청임 떠이어표 | :0 청임 니레 | :8 니 | :2 청임 떠이어표 :8 니나* | :0 청중 | :2 청무 노네 :8 노라 | :0 청임 떠이어표 | :8 니나* 
 :0 청중 | :8 청임 | :2 청협 :5 청황 | :2 청임 :8 같은음표 나니나 | :2 청중 :6 노라 :8 청협 | :1 임 노니로 :3 청황 | :8 니나* | :0 청중 | :2 같은음표 :6 노라 :8 청협 | :2 청황 노니로 :5 청중 
 :0 청임 떠이어표 | :8 니나* | :2 청중 :8 청임 | :0 청무 | :8 청임 나니나 | :0 청중 | :8 느니 | :0 청임 떠이어표 | :8 니나* | :2 청중 :8 느니 
