:2 청태 :6 니나* :8 느나 | :0 남 |  | :0 같은음표 니레 | :0 임 | :0 같은음표 니나 
 :10 청태 :11 같은음표 나니나 | :0 청황 | :0 같은음표 니나 | :2 청태 :6 니나* :8 느나 | :0 남 흘림표 | :0 임 니나 
 :2 남 니레 :8 임 | :0 중 |  | :0 중 | :5 - 흘림표 :8 태 나니나 | :2 황 미는표 :6 니 :8 배남 
 :2 태 :9 노 | :0 임 | :2 청황 :6 청태 니레 :8 청황 나니나 | :0 남 느니-르 | :2 중 :8 느니 | :2 임 노니로 :8 쉼표 
 :2 청황 :8 니나* | :0 임 | :0 같은음표 니나 | :0 청황 | :2 같은음표 니나 :6 리 :8 노라 | :2 남 :8 임 니나 
 :2 청황 :8 니나* | :0 임 | :2 남 니레 :8 쉼표 | :2 청태 :8 니나* | :2 청황 :6 리 :8 노라 | :2 남 :5 임 
 :2 청황 :8 청태 | :2 남 :5 임 | :2 청황 :8 니나* | :2 남 :8 임 니나 | :0 청황 | :2 청태 니레 :8 청황 
 :2 임 :8 니나* | :2 청황 :8 니나* | :2 임 :5 남 | :2 청태 :6 니나* :8 느나 | :0 남 흘림표 | :0 임 니나 
 :2 남 니레 :8 임 | :0 중 |  | :0 중 | :5 - 흘림표 :8 태 나니나 | :2 황 미는표 :6 니 :8 배남 
 :2 태 :9 노 | :0 임 | :2 청황 :6 청태 니레 :8 청황 나니나 | :0 남 느니-르 | :2 중 :8 느니 | :2 임 노니로 :8 쉼표 
 :2 청태 :8 쉼표 | :2 남 :8 쉼표 | :2 청태 :8 청임 | :2 청중 :5 - 흘림표 :8 청태 | :2 청황 미는표 :6 니 :8 남 | :2 중 농음표 :8 남 니레 
 :2 청태 :8 같은음표 나니나 | :0 청황 | :0 같은음표 니나 | :2 청태 :6 니나* :8 느나 | :0 남 흘림표 | :0 임 니나 
 :2 남 니레 :8 임 | :0 중 | :8 황 노니로 | :2 중 :6 황 :8 중 | :0 남 | :2 임 :6 청황 :8 남 
 :2 청황 :8 니나* | :0 임 |  | :0 임 니나 | :0 청태 흘림표 | :0 청황 니나 
 :2 청황 :8 니나* | :0 임 |  | :0 임 니나 | :0 남 니레 | :8 임 
 :2 남 니레 :8 임 | :0 중 | :8 황 노니로 | :2 중 :6 황 :8 중 | :0 남 | :2 임 :6 청황 :8 남 
 :0 청황 |  | :2 같은음표 니나 :6 리 :8 노라 | :2 남 :8 임 | :2 중 :8 태 | :2 황 미는표 :6 니 :8 배남 
 :2 임 :8 니나* | :2 청황 :8 청태 | :2 남 :6 니 :8 임 | :2 청황 :6 니 :8 남 | :0 청태 | :2 청황 :6 니 :8 남 
 :0 청태 | :0 남 | :0 청태 | :6 니 :8 남 | :2 청황 :6 니 :8 남 | :2 중 :6 청황 :8 남 
 :0 청태 | :0 청임 | :2 청남 :8 청임 | :0 청중 | :8 청태 | :2 청황 :6 리 :8 청태 
 :0 청중 | :8 청태 | :0 청황 | :0 같은음표 니나 | :0 청중 | :8 노라 
 :0 청중 | :0 청황 농음표 | :0 청중 | :0 청황 농음표 | :2 청중 :8 청태 | :2 청황 :8 느니 
 :0 청태 | :8 청황 | :1 남 :3 임 | :0 청황 | :2 청태 :6 니나* :8 느나 | :0 청중 
 :2 청중 :8 청태 | :0 청태 나니로 | :0 청임 | :8 청중 흘림표 | :2 청태 :8 니나* | :2 청황 :8 쉼표 
 :2 청태 :6 니나* :8 느나 | :0 남 |  | :0 같은음표 니레 흘림표 | :0 임 | :0 같은음표 니나 
 :2 청태 :8 같은음표 나니나 | :0 청황 | :0 같은음표 니나 | :2 청태 :6 니나* :8 느나 | :0 남 흘림표 | :0 임 니나 
 :2 남 니레 :8 임 | :0 중 |  | :0 중 | :5 - 흘림표 :8 태 나니나 | :2 황 미는표 :6 니 :8 배남 
 :2 태 :9 노 | :0 임 | :2 청황 :6 니 니레 :8 청황 나니나 | :0 남 느니-르 | :2 중 :8 느니 | :2 임 노니로 :8 쉼표 
 :2 청황 :8 니나* | :0 임 | :2 청황 :9 니 | :0 남 | :8 니나* | :0 임 
 :0 남 니레 | :8 임 | :2 중 :5 태 | :0 임 | :0 남 니레 | :8 임 
 :2 남 니레 :8 임 | :0 중 | :0 남 니레 | :6 노 :8 청황 | :2 남 :8 임 | :2 중 :5 태 
 :0 임 | :2 청황 :9 니 | :2 남 :8 임 | :2 중 :5 태 | :2 임 :8 느니 | :2 남 :6 노 :8 중 
 :2 청태 :5 청중 :8 - 흘림표 | :0 청태 | :8 남 노니로 | :0 청태 | :8 남 노니로 | :2 청태 :6 니 :8 노라 
 :0 청중 | :5 - 흘림표 :8 청태 | :0 청중 | :0 청임 | :2 청중 :8 느니 | :2 청임 떠이어표 :8 청중 흘림표 
 :2 청태 :5 청중 :8 - 흘림표 | :0 청태 | :8 남 노니로 | :0 청태 | :8 남 노니로 | :2 청태 :6 니 :8 노라 
 :0 청중 | :5 - 흘림표 :8 청태 | :0 청중 | :0 청임 | :6 니 :8 청임 | :2 청남 :8 청임 
 :0 청중 흘림표 | :2 남 :6 니 :8 노라 | :0 청황 | :0 같은음표 니나 | :0 청중 | :8 노라 
 :0 청중 | :2 청황 :6 니 :8 남 | :2 청태 :9 노 | :0 청임 | :0 청중 흘림표 | :2 청태 :8 쉼표 
 :0 청중 | :8 청태 | :2 청중 :8 청태 | :2 청황 :6 리 :8 노라 | :2 남 :6 노 :8 청황 나니나 | :0 임 노니로 
 :0 청태 니레 | :8 청황 | :1 남 :3 임 | :0 청황 | :2 청태 니레 :6 니나* :8 느나 | :0 청중 
 :2 청중 :8 청태 | :0 청태 나니로 | :0 청임 | :0 청남 | :8 청임 | :2 청중 :5 청태 
 :0 청임 떠이어표 | :0 청남 | :8 청임 | :0 중청황 | :2 청남 :8 니나* | :0 청임 
 :0 청남 | :8 청임 | :2 청중 :5 청태 | :0 청임 | :0 청남 | :2 청임 :8 청중 
 :2 청태 :9 노 | :0 청중 | :8 청태 | :0 청임 | :2 청중 :8 청태 | :2 청황 :8 쉼표 
 :0 청중 | :0 청황 | :0 - 농음표 | :0 청황 니나 | :0 - 농음표 | :2 청황 니나 :8 쉼표 
 :2 청중 :8 청태 | :0 청황 | :2 같은음표 니나 :6 청중 :8 청태 | :0 청중 | :0 청태 | :2 같은음표 니레 :8 청황 
 :2 임 :8 느니 | :0 남 |  |  |  | :8 쉼표 
 :2 청황 :9 니 | :0 남 | :2 청황 :9 니 | :0 남 | :2 청황 :5 청태 :8 남 | :2 중 :8 남 니레 
 :2 청태 :5 청중 :8 - 흘림표 | :0 청태 | :8 남 노니로 | :0 청태 | :2 청중 :8 청태 | :0 청황 
 :2 청황 :8 니나* | :0 임 | :0 중 | :0 임 니레 | :0 청태 흘림표 | :0 청황 니나 
 :2 청황 :8 니나* | :0 임 | :2 청황 :8 니나* | :0 임 | :0 청황 | :2 청태 니레 :5 - 겹흘림표 :8 청황 
 :0 임 | :2 청황 :8 니나* | :2 임 :5 남 | :2 청태 :6 니나* :8 느나 | :2 남 :6 노 :8 청황 나니나 | :0 임 
 :2 남 니레 :8 임 | :0 중 | :8 황 노니로 | :2 중 :6 황 :8 중 | :2 남 :8 니나* | :0 임 
 :2 남 니레 :8 임 | :0 중 | :8 황 노니로 | :2 중 :6 황 :8 중 | :0 남 | :6 니 :8 임 
 :0 중 | :2 남 :8 니나* | :0 임 | :2 중 :5 태 | :0 남 니레 |  
 :0 청황 노니로 | :0 청태 니레 | :6 니 :8 노라 | :0 남 | :8 니나* | :2 임 :8 쉼표 
 :0 청중 | :8 청태 | :2 청중 :8 청태 | :2 청황 :6 리 :8 노라 | :2 남 :6 노 :8 청황 나니나 | :0 임 
 :0 청태 니레 | :8 청황 | :1 남 :3 임 | :0 청황 | :2 청태 니레 :6 니나* :8 느나 | :0 청중 
 :2 청중 :8 청태 | :0 청태 나니로 | :0 청임 | :0 청남 | :11 청임 | :2 청중 :5 청태 
 :0 청임 떠이어표 | :0 청남 | :8 청임 | :0 중청황 | :2 청남 :8 니나* | :0 청임 
 :0 청남 | :8 청임 | :2 청중 :5 청태 | :0 청임 | :0 청남 | :8 청임 
 :2 청남 :8 청임 | :0 청중 | :0 청남 노네 | :8 청임 | :10 청남 :11 청임 특강표 | :0 청중 
 :2 청남 노네 :8 청임 | :0 청중 | :0 같은음표 니레 | :0 청남 노네 | :2 청임 :9 니 | :2 청임 떠이어표 :8 청중 
 :0 청태 | :0 청임 | :8 청중 | :0 청태 | :11 남 노니로 | :2 청태 :6 니 :8 노라 
 :0 청중 | :8 청태 | :0 청황 | :0 청중 | :8 느니 | :2 청임 떠이어표 :8 청중 
 :2 청황 :8 니나* | :0 임 노니로 | :2 청황 :8 니나* | :0 남 |  | :8 쉼표 
 :2 청황 :8 니나* | :0 임 노니로 | :2 청황 :9 니 | :0 남 | :2 청황 :9 니 | :0 남 
 :2 청태 :6 니나* :8 느나 | :0 남 | :8 임 | :2 중 :8 느니 | :0 임 | :2 같은음표 니나 :8 중 
 :0 청태 | :8 청중 | :2 청태 :6 니 :8 노라 | :0 청중 | :8 청태 | :2 청황 :6 청중 :8 청태 
 :0 청중 | :2 남 :6 니 :8 노라 | :0 청황 | :0 같은음표 니나 | :0 청중 | :8 노라 
 :0 청중 | :2 청황 미는표 :6 니 :8 남 | :2 청태 :9 노 | :0 청임 | :0 청중 | :0 청태 
 :0 청중 | :8 청태 | :2 청중 :8 청태 | :2 청황 :6 리 :8 노라 | :2 남 :6 노 :8 청황 나니나 | :2 임 :8 쉼표

:0 태 미는표 | :0 배남 |  | :0 배남 니레 흘림표 | :5 배임 :9 니 | :0 배임 
 :0 태 흘림표 | :0 황 | :0 황 니나 | :0 태 미는표 | :0 배남 흘림표 | :0 배임 
 :0 배남 미는표 | :0 배중 |  | :0 배임 | :2 - 흘림표 :5 - 흘림표 :8 배중 | :0 배임 
 :0 배중 | :0 배임 | :0 황 | :0 배임 시루표 | :0 배중 | :2 배임 :8 쉼표 
 :0 황 | :0 배임 | :0 배임 니나 | :0 황 | :0 황 니나 | :2 배남 :5 배임 
 :0 황 미는표 | :0 배임 | :0 배남 | :0 태 흘림표 | :0 황 | :2 배남 :5 배임 
 :0 황 | :2 배남 :5 배임 | :0 황 | :2 배남 :5 - 흘림표 :8 배임 | :0 황 | :2 태 니레 :5 - 흘림표 :8 황 
 :0 배임 | :0 황 | :2 배임 :5 배남 | :0 태 미는표 | :0 배남 | :0 배임 
 :0 배남 미는표 | :0 배중 |  | :0 배임 | :8 배중 | :0 배임 
 :0 배중 | :0 배임 | :0 황 | :0 배임 시루표 | :0 배중 | :2 배임 :8 쉼표 
 :0 태 미는표 | :0 배남 | :0 황 미는표 | :0 배남 | :0 태 | :2 배남 :5 - 흘림표 :8 배임 
 :0 태 흘림표 | :0 황 | :0 황 니나 | :0 태 미는표 | :0 배남 | :0 배임 
 :0 배남 미는표 | :0 배중 |  | :0 배중 니나 | :0 배남 | :0 배임 루러표 
 :0 황 | :0 배임 시루표 | :0 배중 | :0 배임 | :0 태 흘림표 | :0 황 
 :0 황 | :0 배임 | :0 배중 | :0 배임 | :0 배남 | :2 - 흘림표 :8 배임 
 :0 배남 미는표 | :0 배중 |  | :0 배중 니나 | :0 배남 흘림표 | :0 배임 
 :0 황 |  | :0 황 | :2 배남 :5 - 흘림표 :8 배임 | :0 배중 | :0 배중 니나 
 :0 배임 | :0 황 | :2 배남 :5 - 흘림표 :8 배임 | :0 황 | :0 태 니레 흘림표 | :0 황 
 :0 태 니레 | :8 배남 | :0 황 미는표 | :0 배남 | :0 황 미는표 | :0 배남 
 :0 태 | :0 임 니레 | :0 - 흘림표 | :0 중 | :5 - 미는표 :8 태 | :2 황 :8 태 
 :0 중 | :5 - 미는표 :8 태 | :0 황 | :0 황 니나 | :0 중 니나 | :5 - 흘림표 :8 태 
 :0 중 미는표 | :0 황 | :0 중 미는표 | :0 황 | :2 중 :5 - 미는표 :8 태 | :0 황 
 :0 태 니레 흘림표 | :0 황 | :2 배남 :5 배임 | :0 황 | :0 태 | :0 중 
 :0 중 미는표 | :0 태 | :0 임 | :0 중 흘림표 | :0 태 흘림표 | :2 황 :8 쉼표 
 :0 태 미는표 | :0 배남 |  | :0 배남 니레 흘림표 | :5 배임 :9 니 | :0 배임 
 :0 태 흘림표 | :0 황 | :0 황 니나 | :0 태 미는표 | :0 배남 흘림표 | :0 배임 
 :0 배남 미는표 | :0 배중 |  | :0 배임 | :8 배중 | :0 배임 
 :0 배중 | :0 배임 | :0 황 | :0 배임 시루표 | :0 배중 | :2 배임 :8 쉼표 
 :0 황 | :0 배임 | :5 황 :9 니 | :0 배남 | :0 - 흘림표 | :0 배임 
 :0 배남 니레 | :5 - 흘림표 :8 배임 | :0 배중 | :0 배임 | :0 배남 | :2 - 흘림표 :8 배임 
 :0 배남 미는표 | :0 배중 | :0 배남 | :2 - 흘림표 :8 배임 | :0 배남 미는표 | :0 배중 
 :0 배임 | :0 황 | :0 배임 시루표 | :0 배중 | :0 배임 | :0 배남 
 :2 태 :5 중 :8 - 미는표 | :0 태 | :0 - 루러표 | :0 태 | :0 - 루러표 | :0 태 
 :0 중 니나 | :2 - 흘림표 :8 태 | :0 중 | :0 임 | :0 중 | :2 임 니레 :8 중 
 :2 태 :5 중 :8 - 미는표 | :0 태 | :0 - 루러표 | :0 태 | :0 - 루러표 | :0 태 
