:0 쉼표 |  |  |  |  |  |  |  |  | :9 니로나 | :0 배임 니나 |  |  |  | :0 배임 니나 | :8 니나* | :0 황 |  | :0 같은음표 니나 | :2 태 니레 :5 - 흘림표 :8 황 나니나 
 :0 배임 노니로 |  | :0 같은음표 니나 | :8 니나* | :0 황 | :8 배임 노니로 | :0 태 나니로 |  | :0 같은음표 니레 흘림표 | :2 황 니나 :7 태 니레 :9 황 | :0 배임 | :8 니나* | :2 황 :8 니나* | :0 배임 | :2 황 :8 태 니레 | :2 황 :6 태 니레 :8 황 나니나 | :0 중 | :8 니레나 | :0 황 니레 | :2 임 니레 :5 - 흘림표 :8 니나* 
 :2 중 :8 니레나 | :2 황 니레 :6 태 니레 :8 황 나니나 | :0 중 |  |  | :6 임 니레 :7 중 :9 쉼표 | :2 황 노니로 :5 중 | :8 니레나 | :2 황 니레 :7 태 니레 :9 황 | :0 배임 | :2 황 :8 태 니레 | :2 황 :6 태 니레 :8 황 나니나 | :0 중 | :8 느니 | :2 임 :5 - 흘림표 :8 중 | :2 황 니레 :6 태 니레 :8 황 나니나 | :0 중 | :2 같은음표 :6 니레나 :7 노라 :9 니나* | :2 배임 :8 니나* | :2 황 :8 쉼표 
 :1 중 :3 느니 :5 임 | :8 니나* | :0 중 | :7 임 니레 :9 중 | :0 태 흘림표 | :2 황 :8 니나* | :0 중 | :8 느니 | :2 임 :8 같은음표 나니나 | :2 중 :6 니 :8 태 | :2 황 :8 태 니레 | :2 황 겹흘림표 :6 태 니레 :8 황 | :0 임 나니로 | :6 노 :8 무 느니-르 | :2 중 :8 니레나 | :0 황 니레 | :2 임 :6 노 :8 무 느니-르 | :2 중 :8 임 니레 | :5 청황 :9 니나* | :2 무 :6 노라 :8 태 
 :2 황 :7 태 니레 :9 배임 | :2 황 :6 태 니레 :8 황 나니나 | :0 중 |  |  | :6 임 니레 :7 중 :9 쉼표 | :2 황 노니로 :5 중 | :8 임 끊는표 | :0 황 노니로 |  | :1 중 :3 느니 :5 임 | :6 노 :8 무 느니-르 | :0 중 | :7 임 니레 :9 중 | :0 태 흘림표 | :2 황 미는표 :6 태 니레 :8 황 나니나 | :0 중 | :2 같은음표 :6 니레나 :7 노라 :9 니나* | :2 배임 :8 니나* | :2 황 :8 쉼표 
 :0 태 나니로 |  | :0 같은음표 니레 | :2 황 :8 태 니레 | :2 중 :8 임 | :2 같은음표 니레 :6 니 :7 임 :9 중 | :0 태 느로니르 | :2 황 :8 태 니레 | :2 중 :8 니레나 | :2 황 니레 :8 태 니레 | :2 임 니나 :6 노 :8 무 느니-르 | :2 중 :8 임 니레 | :0 청황 | :2 - 미는표 :6 니 :8 임 | :2 무 :5 - 미는표 :8 니 | :2 무 :6 니 :8 임 | :0 중 | :8 니레나 | :0 황 니레 | :2 임 니레 :5 - 흘림표 :8 니나* 
 :2 중 :8 니레나 | :2 황 니레 :6 태 니레 :8 황 나니나 | :0 중 |  |  | :6 임 니레 :7 중 :9 쉼표 | :2 황 노니로 :5 중 | :8 니레나 | :2 황 니레 :7 태 니레 :9 황 | :0 배임 | :2 황 :8 태 니레 | :2 황 :6 태 니레 :8 황 나니나 | :0 중 | :8 느니 | :2 임 :5 - 흘림표 :8 중 | :2 황 :6 태 니레 :8 황 나니나 | :0 중 | :2 같은음표 :6 니레나 :7 노라 :9 니나* | :2 배임 :8 니나* | :2 황 :8 쉼표 
 :2 임 :5 중 :8 임 끊는표 | :0 청황 | :2 같은음표 니레 :8 청태 끊는표 | :1 임 :3 중 :8 임 니레 | :2 청황 :8 청태 끊는표 | :2 임 :6 노 :8 무 느니-르 | :0 중 | :8 니레나 | :1 황 :3 중 :8 니레나 | :2 황 니레 :8 태 니레 | :0 배임 | :8 니나* | :2 황 :8 니레나 | :0 배임 | :2 황 :8 태 니레 | :2 황 :6 태 니레 :8 황 나니나 | :0 중 | :6 니나* :8 황 니레 | :2 중 :8 임 니레 | :2 청황 :8 무 흘림표 
 :1 중 :3 느니 :5 임 |  |  |  |  | :6 니나* :7 중 :9 쉼표 | :2 임 니레 :8 중 | :2 황 니레 :6 배임 노니로 :8 황 나니나 | :2 중 :8 임 니레 | :2 청황 :6 니나* :8 무 흘림표 | :1 중 :3 느니 :5 임 | :6 노 :8 무 느니-르 | :0 중 | :6 니나* :8 황 니레 | :1 중 :3 느니 :5 임 | :6 노 :8 무 느니-르 | :0 중 | :7 임 니레 :9 중 | :2 태 :6 노 :8 중 | :0 황 
 :2 황 :7 태 니레 :9 배임 노니로 | :2 황 :6 태 니레 :8 황 나니나 | :0 중 | :6 니나* :8 황 니레 | :1 중 :3 느니 :5 임 | :6 노 :8 무 느니-르 | :0 중 | :7 임 니레 :9 중 | :2 태 :6 노 :8 중 | :0 황 | :2 임 니레 :6 노 :8 무 느니-르 | :2 중 :8 임 니레 | :0 청황 | :2 - 미는표 :6 니 :8 임 | :2 무 :5 - 미는표 :8 니 | :2 무 :6 니 :8 임 | :0 중 | :8 니레나 | :0 황 니레 | :2 임 니레 :5 - 흘림표 :8 니나* 
 :2 중 :8 니레나 | :2 황 니레 :6 태 니레 :8 황 나니나 | :0 중 |  |  | :6 임 니레 :7 중 :9 쉼표 | :2 황 노니로 :5 중 | :8 니레나 | :2 황 니레 :7 태 니레 :9 황 | :0 배임 | :2 황 :8 태 니레 | :2 황 :6 태 니레 :8 황 나니나 | :0 중 | :8 느니 | :2 임 :8 중 | :2 황 :6 태 니레 :8 황 나니나 | :0 중 | :2 같은음표 :6 니레나 :7 노라 :9 니나* | :2 배임 :8 니나* | :2 황 :8 쉼표 
 :0 배임 | :8 니나* | :2 황 :8 니레나 | :0 배임 | :2 황 :8 태 니레 | :2 황 :6 태 니레 :8 황 나니나 | :0 중 | :6 니나* :8 황 니레 | :2 중 :8 임 니레 | :2 청황 :8 무 | :1 중 :3 느니 :5 임 :8 - 흘림표 | :2 중 :8 느니 | :0 임 흘림표 | :2 중 :7 임 니레 :9 중 | :2 태 :6 노 :8 중 | :0 황 | :0 태 나니로 |  | :0 같은음표 니레 농음표 | :2 황 니나 :7 태 니레 :9 황 
 :0 중 | :8 임 니레 | :2 무 :5 - 흘림표 :8 임 나니나 | :2 중 :8 느니 | :2 임 :6 노 :8 무 느니-르 | :2 중 :8 임 니레 | :0 청황 | :2 청태 니레 :8 청황 | :1 임 :3 중 :8 임 니레 | :2 청황 :8 무 흘림표 | :2 임 :8 같은음표 나니나 | :2 중 :8 느니 | :0 임 흘림표 | :2 중 :7 임 니레 :9 중 | :2 태 :9 배임 노니로 | :2 황 :8 니레나 | :0 중 | :8 니레나 | :0 황 니레 | :2 임 니레 :5 - 흘림표 :8 니나* 
 :2 중 :8 니레나 | :2 황 니레 :6 태 니레 :8 황 나니나 | :0 중 |  |  | :6 임 니레 :7 중 :9 쉼표 | :2 황 노니로 :5 중 | :8 니레나 | :2 황 니레 :8 태 니레 | :2 배임 :8 니나* | :0 황 |  | :0 같은음표 니나 | :2 태 니레 :6 니나* :8 황 | :2 중 :8 임 | :2 같은음표 니레 :6 니 :7 임 :9 중 | :0 태 느로니르 |  | :0 태 니레 흘림표 | :2 황 :6 니나* :8 배임 노니로 
 :0 태 나니로 | :0 - 흘림표 | :0 황 | :7 태 니레 :9 황 | :2 배임 :8 니나* | :0 황 | :2 태 :6 노 :8 중 | :2 황 :8 태 니레 | :2 임 :6 니 :7 임 :9 중 | :2 황 니레 :8 태 니레 | :2 임 니나 :6 노 :8 무 느니-르 | :2 중 :8 임 니레 | :0 청황 | :2 - 미는표 :6 니 :8 임 | :2 무 :8 니 | :2 무 :6 노라 :8 무 느니-르 | :0 중 | :6 니나* :8 무 느니-르 | :0 중 |  
 :2 태 :5 중 | :6 니 :7 태 :9 황 | :0 임 나니로 |  | :2 중 :6 노 :8 임 | :2 같은음표 니레 :6 니 :7 임 :9 중 | :0 태 느로니르 흘림표 | :2 황 :8 태 니레 | :2 중 :8 니레나 | :2 황 니레 :8 태 니레 | :2 임 니나 :6 노 :8 무 느니-르 | :2 중 :8 임 니레 | :2 청황 :8 니레나 | :1 임 :3 중 :8 임 니레 | :2 청황 노니로 :8 청태 니레 | :2 청황 :6 니나* :8 무 느니-르 | :0 중 | :8 니레나 | :0 황 니레 | :2 임 니레 :5 - 흘림표 :8 니나* 
 :2 중 :8 니레나 | :2 황 니레 :6 태 니레 :8 황 나니나 | :0 중 |  |  | :6 임 니레 :7 중 :9 쉼표 | :2 황 노니로 :5 중 | :8 니레나 | :2 황 니레 :7 태 니레 :9 황 | :0 배임 | :2 황 :8 태 니레 | :2 황 :6 태 니레 :8 황 나니나 | :0 중 | :8 느니 | :2 임 :8 중 | :2 황 니레 :6 태 니레 :8 황 나니나 | :0 중 | :2 같은음표 :6 니레나 :7 노라 :9 니나* | :2 배임 :8 니나* | :2 황 :8 쉼표

:0 하배임 슬기둥1 |  | :0 하배임 |  | :0 하배황 |  | :0 하배임 |  | :0 하배임 | :0 하배임 겹흘림표 | :0 배임 |  |  |  | :2 배임 니나 :8 니나* | :2 배중 :8 배임 미는표 :9 노 | :0 황 |  | :0 황 니나 | :8 배무 흘림표 
 :0 배임 |  | :2 배임 니나 :8 니나* | :2 배중 :8 배임 미는표 :9 노 | :0 황 |  | :0 태 나니로 |  | :0 태 니레 흘림표 | :2 황 :8 배무 흘림표 | :2 배임 :8 니나* | :2 배중 :8 배임 미는표 :9 노 | :2 황 :8 태 니레 :9 노 | :1 배임 :3 배중 :8 배임 | :5 황 :9 겹요성표 | :0 황 | :0 중 | :0 - 미는표 | :0 황 시루표 | :0 임 니레 흘림표 
 :0 중 미는표 | :0 황 시루표 루러표 | :0 중 |  |  | :0 쉼표 | :2 황 :5 중 | :0 - 미는표 | :2 황 :8 태 니레 :9 노 | :1 배임 :3 배중 :8 배임 | :5 황 :9 겹요성표 | :0 황 | :0 중 | :8 느니 | :2 임 니레 :5 - 흘림표 :8 중 | :0 황 시루표 루러표 | :0 중 |  |  | :0 쉼표 
 :0 임 나니로 | :6 노 :8 무 미는표 | :0 중 | :8 임 | :5 태 흘림표 :9 니 | :1 배임 :5 황 | :0 중 루러표 | :6 임 :8 무 | :0 임 니레 흘림표 | :2 중 :6 니 :8 태 흘림표 | :2 황 :8 태 니레 | :1 배임 :5 황 | :0 임 나니로 | :6 노 :8 무 미는표 | :2 중 :6 니 :8 태 흘림표 | :0 황 | :0 임 니레 흘림표 | :2 중 :8 임 미는표 :9 노 | :0 청황 미는표 | :2 임 덧길이표 니레 :5 중 반길이표 :8 태 흘림표 
 :2 황 :8 태 니레 | :1 배임 :3 황 :8 - 루러표 | :0 중 |  |  | :0 쉼표 | :2 황 :5 중 | :0 - 미는표 | :0 황 시루표 | :8 태 | :0 임 나니로 | :6 노 :8 무 미는표 | :0 중 | :8 임 | :5 태 흘림표 :9 니 | :1 배임 :5 황 :9 루러표 | :0 중 |  |  | :0 쉼표 
 :0 태 나니로 |  | :0 태 니레 흘림표 | :2 황 :8 태 :9 노 | :2 중 :8 임 | :2 임 니레 :8 중 | :0 태 나니로 |  | :0 태 니레 흘림표 | :2 황 :8 배무 흘림표 | :2 배임 :8 니나* | :2 배중 :8 배임 미는표 | :2 황 :8 태 니레 :9 노 | :1 배임 :3 배중 :8 배임 | :5 황 :9 겹요성표 | :0 황 시루표 루러표 | :0 중 | :0 - 미는표 | :0 황 시루표 | :0 임 니레 흘림표 
 :0 중 미는표 | :0 황 시루표 루러표 | :0 중 |  |  | :0 쉼표 | :2 황 :5 중 | :0 - 미는표 | :2 황 :8 태 니레 :9 노 | :1 배임 :3 배중 :8 배임 | :5 황 :9 겹요성표 | :0 황 | :0 중 | :8 느니 | :2 임 니레 :5 - 흘림표 :8 중 | :0 황 시루표 루러표 | :0 중 |  |  | :0 쉼표 
 :2 임 반길이표 니레 :5 중 덧길이표 :8 임 미는표 | :0 청황 | :0 청황 미는표 | :2 임 반길이표 니레 :5 중 덧길이표 :8 임 미는표 | :0 청황 미는표 | :2 임 니레 :6 노 :8 무 미는표 | :0 중 |  | :2 황 :5 중 :8 - 미는표 | :2 황 시루표 :8 태 니레 :9 노 | :2 배임 :8 니나* | :2 배중 :8 배임 미는표 | :2 황 :8 태 니레 :9 노 | :1 배임 :3 배중 :8 배임 | :0 황 | :0 황 | :0 중 | :8 황 시루표 | :2 중 :8 임 미는표 | :0 청황 흘림표 
 :0 임 나니로 |  |  |  |  | :0 쉼표 | :2 임 니레 :6 중 :8 태 흘림표 | :2 황 :6 배임 :8 황 | :2 중 :8 임 미는표 | :0 청황 흘림표 | :0 임 나니로 | :6 노 :8 무 미는표 | :0 중 | :8 황 시루표 | :0 임 나니로 | :6 노 :8 무 미는표 | :0 중 | :8 임 | :10 태 흘림표 :15 니 | :1 배임 :5 황 
