:0 임 | :15 무 | :0 중 | :0 임 니레 | :11 중 | :0 청태 | :0 청황 | :11 니나* | :0 무 느니-르 | :0 중 | :11 니나* | :0 황 노니로 
 :0 중 | :11 무 | :0 임 | :0 청황 | :11 니나* | :0 무 느니-르 | :0 중 | :11 무 | :0 임 | :0 청황 | :11 니나* | :0 무 느니-르 
 :0 태 | :11 황 | :0 임 | :0 무 | :11 임 노니로 | :0 청황 | :0 청황 니나 | :11 무 | :0 임 | :0 청황 | :15 청태 | :0 청황 
 :0 청태 니레 |  | :0 청황 나니나 | :0 무 | :11 임 | :0 청황 | :0 청황 니레 | :11 무 | :0 임 | :0 청황 | :11 청태 니레 | :0 청황 
 :0 중 | :11 무 | :0 임 | :0 무 | :11 임 노니로 | :0 청황 | :0 청황 니나 | :11 무 | :0 임 | :0 청황 | :15 청태 | :0 청황 
 :0 청황 | :11 무 | :0 임 | :0 중 | :11 무 | :0 임 | :0 청황 | :11 무 | :0 임 | :0 중 | :11 태 | :0 황 
 :0 임 | :11 무 | :0 중 | :0 무 | :11 임 | :0 중 | :0 황 | :11 니나* | :0 중 | :0 임 니레 | :11 무 | :10 임 :15 중 
 :0 태 노니로 |  |  | :0 태 니레 | :11 황 | :0 배무 | :0 배임 | :11 니나* | :0 황 | :0 중 |  | :11 쉼표 
 :0 중 | :11 노라 | :0 태 | :0 황 | :11 태 | :0 배임 노니로 | :0 황 | :11 태 니레 | :0 황 | :0 중 |  |  
 :0 중 | :11 태 | :0 황 | :0 태 | :11 중 | :0 황 | :0 중 | :11 노라 | :0 태 | :0 황 | :11 배임 노니로 | :0 황 
 :0 중 | :11 노라 | :0 중 | :0 임 니레 | :11 무 | :0 임 | :0 중 | :11 노라 | :0 태 | :0 황 | :11 배임 노니로 | :0 황 
 :0 중 | :11 노라 | :0 중 | :0 임 니레 | :11 무 | :0 임 | :0 청황 | :11 니나* | :0 무 느니-르 | :0 중 | :11 임 | :0 중 
 :0 임 | :11 무 | :0 임 | :0 무 | :11 청황 | :0 임 | :0 청황 | :15 청중 | :10 청태 :15 청황 | :0 무 | :15 청황 | :10 청태 :15 청황 
