:2 청태 :8 청고 | :2 청태 :8 청고 | :0 청임 떠이어표 |  | :2 청임 미는표 :6 니 :8 청고 | :2 청태 :8 니나* | :2 청임 미는표 :6 니 :8 청고 | :2 청태 :5 청황 
 :0 청고 | :2 청임 미는표 :6 니 :8 청고 | :0 청남 노네 | :2 청임 미는표 :6 니 :8 청고 | :0 청남 느니-르 | :1 청고 :3 청태 :6 노 :8 청고 | :0 청황 | :2 청태 니레 :6 노 :8 청고 
 :2 청임 미는표 :6 니 :8 청고 | :2 청태 :8 니나* | :0 청임 | :2 - 미는표 :6 니 :8 청고 | :0 청태 | :2 청고 :6 청임 :7 청고 :9 청태 | :2 청임 :8 니나* | :2 청황 :5 - 흘림표 :8 쉼표 
 :0 청고 | :0 청남 노네 | :2 청임 미는표 :6 니 :8 청고 | :2 청태 :8 니나* | :5 청임 :9 니 | :2 청임 떠이어표 :6 니 :8 청고 | :2 청임 떠이어표 :5 청남 니레 | :8 니나* 
 :0 청임 | :2 - 미는표 :6 니 :8 청고 | :2 청태 :8 니나* | :2 청임 미는표 :6 니 :8 청고 | :0 청태 | :8 니나* | :2 청남 노네 :8 니나* | :2 청임 :8 쉼표 
 :0 청고 | :2 청임 미는표 :6 니 :8 청고 | :0 청임 떠이어표 |  | :2 청임 :8 니 | :0 청고 네로네 | :5 청태 :9 니 | :0 청태 떠이어표 
 :0 청고 | :0 청남 느니-르 | :0 청고 | :2 청태 :8 니나* | :0 청임 | :8 노라 | :0 청고 | :2 청황 :5 - 흘림표 :8 쉼표 
 :0 청고 | :0 청남 노네 | :2 청임 :6 니 :8 청고 | :0 청남 느니-르 | :0 청고 | :2 청임 :6 니 :8 청고 | :2 청임 떠이어표 :5 청남 니레 | :8 니나* 
 :0 청임 | :2 - 미는표 :6 니 :8 청고 | :0 청남 느니-르 | :2 청고 :8 니나* | :0 청태 | :2 청고 :6 청임 :7 청고 :9 청태 | :2 청임 :8 니나* | :0 청황 흘림표 
 :0 청고 | :0 청남 노네 | :2 청임 :6 니 :8 청고 | :2 청태 :8 니나* | :5 청임 :9 니 | :2 청임 떠이어표 :6 니 :8 청고 | :2 청임 떠이어표 :5 청남 니레 | :8 니나* 
 :0 청임 | :6 니 :8 청고 | :0 청태 | :2 청임 :6 니 :8 청고 | :0 청태 | :8 니나* | :2 청남 노네 :8 니나* | :2 청임 :5 - 흘림표 :8 쉼표 
 :0 청고 | :2 청임 미는표 :6 니 :8 청고 | :0 청임 떠이어표 |  | :2 청임 :8 니 | :0 청고 네로네 | :5 청태 :9 니 | :0 청태 노니로 
 :2 청임 :8 청고 | :0 청임 떠이어표 | :2 청고 :8 청태 | :0 청임 | :0 청태 | :2 청고 :6 청임 :7 청고 :9 청태 | :2 청임 :8 니나* | :0 청황 흘림표 
 :2 청임 미는표 :6 니 :8 청고 | :0 청태 | :0 청남 느니-르 | :1 청고 :3 청태 :6 노 :8 청고 | :0 청황 | :6 니 :8 남 | :2 청태 니레 :9 노 | :0 청고 
 :2 청임 :8 니나* | :0 청고 | :8 니나* | :2 청태 :8 니나* | :2 청남 노네 :8 니나* | :0 청임 |  | :8 쉼표 
 :0 청고 | :5 청임 :9 니 | :2 청임 떠이어표 :6 니 :8 청고 | :2 청태 :8 니나* | :2 청임 미는표 :6 니 :8 청고 | :0 청태 | :0 청남 느니-르 | :1 청고 :3 청태 
 :0 청고 | :2 청임 미는표 :6 니 :8 청고 | :0 청남 노네 | :2 청임 미는표 :6 니 :8 청고 | :0 청남 느니-르 | :1 청고 :3 청태 :6 노 :8 청고 | :0 청황 흘림표 | :2 청태 니레 :6 노 :8 청고 
 :2 청임 미는표 :6 니 :8 청고 | :2 청태 :8 니나* | :0 청임 | :6 니 :8 청고 | :0 청태 | :2 청고 :6 청임 :7 청고 :9 청태 | :2 청임 :8 니나* | :0 청황 흘림표 
