:0 청임 |  | :0 청무 | :0 청중 | :11 청임 | :0 청중 흘림표 | :0 청태 | :11 청황 | :0 남 | :0 임 | :11 청황 | :0 남 
 :0 청태 | :11 청황 | :0 청임 | :0 청중 |  | :0 청무 | :0 청중 | :11 청임 | :0 청무 | :0 청중 | :15 청임 | :0 청중 흘림표 
 :0 청임 |  | :11 청태 | :0 청중 | :15 청임 | :0 청중 | :0 청임 | :15 청중 | :0 청태 | :0 청태 니레 | :11 청황 | :0 남 노니로 
 :0 청임 |  | :11 청태 | :0 청중 | :15 청임 | :0 청중 | :0 청임 | :15 청중 | :0 청태 | :0 청태 니레 | :11 청황 | :0 남 노니로 
 :0 청임 | :11 청무 | :0 청태 | :0 청중 | :15 청임 | :0 청중 | :0 청임 | :0 청황 | :0 청태 니레 | :0 청태 니레 | :11 청황 | :0 남 노니로 
 :0 청태 | :11 청황 | :0 청임 | :0 청중 | :11 청임 | :10 청태 :11 니나* | :0 청황 | :11 남 | :0 임 노니로 | :0 청태 | :11 청황 | :0 청중 느니-르 
 :0 청황 |  |  |  | :15 청중 | :10 청태 :15 청황 | :0 남 | :11 임 | :0 청태 | :0 청황 니나 |  | :11 쉼표 
 :0 청임 | :11 청중 | :0 청무 | :0 청중 | :15 청임 | :0 청중 흘림표 | :0 청태 | :11 청황 | :0 남 노니로 | :0 청태 | :11 청중 | :0 청태 
 :0 청무 | :11 청중 | :0 청무 | :0 청중 | :15 청임 | :0 청중 흘림표 | :0 청태 | :11 청황 | :0 남 노니로 | :0 청태 나니로 |  |  
 :0 청중 |  | :0 같은음표 니레 | :0 청무 |  | :0 같은음표 | :0 청중 |  | :0 청무 | :0 청중 | :15 청임 | :0 청중 흘림표 
 :0 청태 | :11 청황 | :0 남 노니로 | :0 청태 |  | :11 남 | :0 청황 | :10 - 미는표 :11 청태 | :10 남 :11 니나* | :0 임 | :15 청황 | :0 남 
 :0 청태 나니로 |  |  |  |  | :0 청태 니레 | :0 청황 | :10 - 미는표 :11 청태 | :10 남 :11 니나* | :0 임 | :15 청황 | :0 남 
 :0 청황 | :0 - 겹흘림표 | :0 청태 니레 | :0 청태 니레 |  | :0 청임 | :0 청황 | :0 - 겹흘림표 | :0 청태 니레 | :0 청태 니레 |  | :0 청임 
 :10 청태 :11 청임 |  |  | :0 청임 니레 | :11 청중 | :10 청임 :15 청중 | :0 청태 | :11 청황 | :10 청임 :11 니나* | :0 청중 |  |  
 :0 청중 |  | :0 같은음표 니레 | :0 청무 |  | :0 같은음표 | :0 청중 |  | :0 청무 | :0 청중 | :15 청임 | :0 청중 흘림표 
 :0 청태 | :11 청황 | :0 남 노니로 | :0 청태 |  | :11 남 | :0 청황 | :10 - 미는표 :11 청태 | :10 남 :11 니나* | :0 임 | :15 청황 | :0 남 
