:0 청태 | :10 - 흘림표 :15 청중 | :0 청황 | :0 청태 니레 | :11 청황 | :0 청남 | :0 청임 | :15 청중 | :0 청태 | :0 청황 | :11 니나* | :0 임 니레 
 :0 청황 |  | :0 청태 니레 | :0 청임 | :15 청중 | :10 청태 :11 니나* | :0 청황 |  | :0 청태 니레 | :0 청임 | :15 청중 | :0 청태 
 :0 남 | :11 임 | :0 청태 | :0 청중 | :10 - 흘림표 :11 청태 | :0 청임 | :0 청임 니레 | :15 청중 | :0 청태 | :0 청임 | :15 청남 | :0 청임 
 :0 청남 노네 |  | :0 청임 | :0 청중 | :10 - 흘림표 :11 청태 | :0 청임 | :0 청임 니레 | :15 청중 | :0 청태 | :0 청임 | :15 청남 | :0 청임 
 :0 청황 |  | :0 청태 니레 | :0 청중 | :10 - 흘림표 :11 청태 | :0 청임 | :0 청임 니레 | :15 청중 | :0 청태 | :0 청임 | :15 청남 | :0 청임 
 :0 청임 | :15 청중 | :10 청태 :11 니나* | :0 청황 |  | :0 청태 니레 | :0 청임 | :15 청중 | :0 청태 흘림표 | :0 청황 | :11 니나* | :0 임 니레 
 :0 청태 | :10 - 흘림표 :15 청중 | :0 청황 | :0 청중 | :11 청태 | :0 청황 | :0 임 | :11 니나* | :0 청황 | :0 청태 니레 | :11 니 | :10 청태 :15 노 
 :0 남 노니로 |  |  | :0 남 니레 | :11 임 특강표 | :0 중 | :0 태 | :11 중 | :0 임 | :0 청황 |  | :0 쉼표 
 :0 청황 | :15 청태 | :0 남 흘림표 | :0 임 | :11 남 | :0 태 | :0 임 | :11 남 니레 | :0 임 | :0 청황 |  |  
 :0 청황 | :15 남 | :0 임 | :0 남 | :0 - 흘림표 | :0 임 니나 | :0 청황 |  | :0 남 네로네 | :0 임 | :11 태 | :0 임 
 :0 청황 | :11 노라 | :0 청황 | :0 청태 니레 |  | :0 같은음표 니레 흘림표 | :0 청황 | :11 노라 | :0 남 흘림표 | :0 임 | :11 태 | :0 임 
 :0 청황 | :11 노라 | :0 청황 | :0 청태 니레 |  | :0 같은음표 니레 | :0 청임 | :15 청중 | :0 청태 | :0 청황 |  | :0 같은음표 니나 
 :0 청태 |  | :0 같은음표 니레 | :0 청중 | :0 - 흘림표 | :0 청태 | :0 청임 떠이어표 | :9 리 | :10 청남 :15 노 | :0 청중 | :11 청임 | :10 청남 :15 노 
 :0 청중 | :10 - 흘림표 :11 청태 | :0 청황 | :0 청태 | :11 청중 | :0 청남 노네 | :0 청임 | :15 청중 | :0 청태 | :0 청임 | :15 청남 | :0 청임 
 :0 남 나니로 |  |  | :0 남 |  |  | :0 남 |  | :0 같은음표 니레 | :0 남 |  | :0 같은음표 니레 흘림표 
 :0 임 |  | :0 남 니레 흘림표 | :0 임 |  | :0 남 니레 흘림표 | :0 임 | :11 중 | :0 태 | :0 임 | :11 남 니레 | :0 임 
 :0 청황 | :11 노라 | :0 청황 흘림표 | :0 남 |  | :0 같은음표 니레 흘림표 | :0 임 | :11 중 | :0 태 | :0 임 | :11 남 니레 | :0 임 
 :10 남 :11 청태 |  |  | :0 청황 니나 | :10 - 흘림표 :15 청태 | :0 남 | :0 임 | :11 중 | :0 태 | :0 임 | :11 남 니레 | :0 임 
 :0 청태 | :9 노 | :0 청중 느니-르 | :0 청황 |  | :0 청태 니레 | :0 청임 | :15 청중 | :0 청태 | :0 청황 | :9 남 | :0 임 
 :0 청태 | :15 청중 | :0 청황 | :0 청중 | :11 청태 | :0 청황 | :0 임 | :11 니나* | :0 청황 | :0 청태 니레 | :11 니 | :10 청태 :15 노 
 :0 남 노니로 |  |  | :0 남 니레 | :11 임 | :0 중 흘림표 | :0 태 | :11 중 | :0 임 | :0 청황 |  | :0 청태 니레 
 :0 청임 | :15 청중 | :0 청태 |  |  | :0 같은음표 니레 흘림표 | :0 청황 | :15 남 | :0 임 | :0 청황 |  | :0 청태 니레 
 :0 청임 | :11 청남 | :0 청태 | :0 청중 | :0 - 흘림표 | :0 청태 나니나 | :0 청황 | :15 남 | :0 임 | :0 청황 |  |  
 :0 청황 |  | :0 청태 니레 | :0 청중 | :10 - 흘림표 :11 청태 | :0 청임 | :0 청임 니레 | :15 청중 | :0 청태 | :0 청임 | :15 청남 | :0 청임 
 :0 청임 | :15 청중 | :0 청태 | :0 청황 |  | :0 청태 니레 | :0 청임 | :15 청중 | :0 청태 흘림표 | :0 청황 | :15 남 | :0 임 
 :0 청태 | :15 청중 | :0 청황 | :0 청황 니나 |  |  | :0 청태 |  | :0 청임 | :0 청중 | :11 청태 | :0 청황 
 :0 청태 | :15 청중 | :0 청황 | :0 청황 니나 | :10 - 미는표 :11 니 | :0 남 | :0 청태 | :15 청중 | :0 청황 | :0 청황 니나 |  | :0 청태 니레 
 :0 청황 |  | :0 청태 니레 | :0 청황 |  | :0 청태 니레 | :0 청황 | :11 니나* | :0 남 네로네 | :0 임 | :11 태 | :0 임 
 :0 청황 |  | :0 청태 니레 | :0 청중 | :10 - 흘림표 :11 청태 | :0 청임 | :0 청임 니레 | :15 청중 | :0 청태 | :0 청임 | :15 청남 | :0 청임 
 :0 청임 | :15 청중 | :0 청태 | :0 청황 |  | :0 청태 니레 | :0 청임 | :15 청중 | :0 청태 흘림표 | :0 청황 | :15 남 | :0 임 
 :0 청태 | :15 청중 | :0 청황 | :0 청황 니나 |  |  | :0 청태 |  | :0 청임 | :0 청중 | :10 - 흘림표 :11 청태 | :0 청황 
 :0 청태 | :15 청중 | :0 청황 | :0 청황 니나 | :10 - 미는표 :11 니 | :0 남 | :0 청태 | :15 청중 | :0 청황 | :0 청황 니나 |  | :0 쉼표

:0 태 | :10 - 흘림표 :11 중 | :0 황 | :0 태 | :11 황 | :0 남 흘림표 | :0 임 |  | :0 태 나니로 흘림표 | :0 황 |  | :0 배임 시루표 
 :0 황 |  | :0 태 니레 | :0 임 |  | :0 태 나니로 흘림표 | :0 황 |  | :5 태 니레 :9 노 | :0 임 |  | :0 태 나니로 
 :0 배남 | :11 황 | :0 태 | :0 중 | :10 - 흘림표 :11 태 | :0 임 | :0 임 |  | :0 태 나니로 | :0 임 |  | :0 임 
 :0 남 | :0 - 흘림표 | :0 임 | :0 중 | :10 - 흘림표 :11 태 | :0 임 | :0 임 |  | :0 태 나니로 흘림표 | :0 임 |  | :0 임 
 :0 황 |  | :0 태 니레 | :0 중 | :10 - 흘림표 :11 태 | :0 임 | :0 임 |  | :0 태 나니로 흘림표 | :0 임 |  | :0 임 
 :0 임 |  | :0 태 나니로 흘림표 | :0 황 |  | :5 태 니레 :9 노 | :0 임 |  | :0 태 나니로 흘림표 | :0 황 |  | :0 배임 시루표 
 :0 태 | :0 - 흘림표 | :0 황 | :0 중 | :11 태 | :0 황 | :0 배임 시루표 | :0 - 루러표 | :0 황 | :0 태 | :0 - 흘림표 | :0 황 
 :0 배남 |  |  | :0 배남 | :0 - 흘림표 | :0 배임 | :0 배중 | :11 황 | :10 배남 반길이표 :11 배임 덧길이표 | :0 황 |  | :0 쉼표 
 :0 황 | :9 니 | :0 배남 흘림표 | :0 배임 |  | :0 배중 | :0 배임 | :11 배남 | :0 배임 루러표 | :0 황 |  |  
 :0 황 |  | :0 배임 시루표 | :0 황 |  | :0 배임 시루표 | :0 태 니레 | :0 - 흘림표 | :0 황 | :0 배임 시루표 | :11 배중 | :0 배임 
 :0 황 | :11 배임 시루표 | :0 황 | :0 태 | :10 - 흘림표 :11 중 | :0 태 흘림표 | :0 황 | :9 니 | :0 배남 흘림표 | :0 배임 | :11 배중 | :0 배임 
 :0 황 | :11 배임 시루표 | :0 황 | :0 태 | :10 - 흘림표 :11 중 | :5 태 :9 노 | :0 임 |  | :0 태 나니로 흘림표 | :0 황 |  | :0 황 니나 
 :0 태 |  |  | :0 중 | :0 - 흘림표 | :5 태 :9 노 | :0 임 | :9 노 | :0 남 미는표 | :0 중 |  |  
 :0 중 니나 |  | :0 황 시루표 | :0 태 | :9 노 | :0 남 흘림표 | :0 임 |  | :0 태 나니로 | :0 임 |  | :0 임 
 :0 배남 나니로 |  |  |  |  |  | :0 배남 |  |  | :0 배남 |  | :0 배남 흘림표 
 :0 배임 | :11 황 | :0 배남 흘림표 | :0 배임 | :11 황 | :0 배남 흘림표 | :0 배임 |  | :0 배중 | :0 배임 |  |  
 :0 황 | :11 배임 시루표 | :0 황 | :0 배남 | :11 황 | :0 배남 흘림표 | :0 배임 |  | :0 배중 | :0 배임 |  |  
 :10 배남 :11 태 |  | :0 - 흘림표 | :0 황 | :9 니 | :0 배남 흘림표 | :0 배임 |  | :0 배중 | :0 배임 |  |  
 :0 태 | :10 - 흘림표 :11 황 | :0 중 미는표 | :0 황 |  | :5 태 니레 :9 노 | :0 임 |  | :0 태 나니로 흘림표 | :0 황 |  | :0 배임 시루표 
 :0 태 | :0 - 흘림표 | :0 황 | :0 중 | :11 태 | :0 황 | :0 배임 시루표 | :0 - 루러표 | :0 황 | :0 태 | :0 - 흘림표 | :0 황 
