:2 임 :8 남 | :2 임 :8 남 | :0 청황 |  | :2 청황 미는표 :6 니 :8 남 | :2 임 :8 니나* | :2 청황 미는표 :6 니 :8 남 | :2 임 :5 중 
 :0 남 | :2 청황 미는표 :6 니 :8 남 | :0 청태 노네 | :2 청황 미는표 :6 니 :8 남 | :0 청태 느니-르 | :1 남 :3 임 :6 노 :8 남 | :0 중 | :2 임 :6 노 :8 남 
 :2 청황 미는표 :6 니 :8 남 | :2 임 :8 니나* | :0 청황 | :2 - 미는표 :6 니 :8 남 | :0 임 | :2 남 :6 청황 :7 남 :9 임 | :2 청황 :8 니레나 | :2 중 :5 - 흘림표 :8 쉼표 
 :0 남 | :0 청태 노네 | :2 청황 미는표 :6 니 :8 남 | :2 임 :8 니나* | :2 청황 :8 청태 나니나 | :2 청황 미는표 :6 니 :8 남 | :0 청태 나니로 | :8 니나* 
 :0 청황 | :6 니 :8 남 | :0 임 | :2 청황 미는표 :6 니 :8 남 | :0 임 | :8 니나* | :2 청태 노네 :8 니나* | :2 청황 :8 쉼표 
 :0 남 | :2 청황 미는표 :6 니 :8 남 | :0 청황 |  | :2 청황 :8 니 | :0 남 네로네 흘림표 | :0 임 | :0 임 니레 
 :0 남 | :0 청태 느니-르 | :0 남 | :2 임 :8 니나* | :0 청황 | :8 노라 | :0 남 | :2 중 :5 - 흘림표 :8 쉼표 
 :0 남 | :0 청태 노네 | :2 청황 미는표 :6 니 :8 남 | :0 청태 느니-르 | :0 남 | :2 청황 미는표 :6 니 :8 남 | :0 청태 나니로 | :8 니나* 
 :0 청황 | :2 - 미는표 :6 니 :8 남 | :0 청태 느니-르 | :2 남 :8 니나* | :0 임 | :2 남 :6 청황 :7 남 :9 임 | :2 청황 :8 니레나 | :0 중 흘림표 
 :0 남 | :0 청태 노네 | :2 청황 미는표 :6 니 :8 남 | :2 임 :8 니나* | :2 청황 :8 청태 나니나 | :2 청황 미는표 :6 니 :8 남 | :0 청태 나니로 | :8 니나* 
 :0 청황 | :6 니 :8 남 | :0 임 | :2 청황 미는표 :6 니 :8 남 | :0 임 | :8 니나* | :2 청태 노네 :8 니나* | :2 청황 :5 - 흘림표 :8 쉼표 
 :0 남 | :2 청황 미는표 :6 니 :8 남 | :0 청황 |  | :2 청황 :8 니 | :0 남 네로네 흘림표 | :0 임 | :0 임 니레 
 :2 청황 :8 남 | :0 청황 | :2 남 :8 임 | :0 청황 | :0 임 | :2 남 :6 청황 :7 남 :9 임 | :2 청황 :8 니레나 | :0 중 
 :2 청황 미는표 :6 니 :8 남 | :0 임 | :0 청태 느니-르 | :2 임 니레 :6 노 :8 남 | :0 중 | :5 - 흘림표 :8 태 | :2 임 노니로 :9 노 | :0 남 
 :2 청황 :8 니나* | :0 남 | :8 니나* | :0 임 | :2 청태 노네 :8 니나* | :0 청황 |  |  
 :0 남 | :2 청황 :9 니 | :2 청황 미는표 :6 니 :8 남 | :2 임 :8 니나* | :2 청황 미는표 :6 니 :8 남 | :0 임 | :0 청태 느니-르 | :0 임 
 :0 남 | :2 청황 미는표 :6 니 :8 남 | :0 청태 노네 | :2 청황 미는표 :6 니 :8 남 | :0 청태 느니-르 | :2 임 니레 :6 노 :8 남 | :0 중 흘림표 | :2 임 :6 노 :8 남 
 :2 청황 미는표 :6 니 :8 남 | :2 임 :8 니나* | :0 청황 | :6 니 :8 남 | :0 임 | :2 남 :6 청황 :7 남 :9 임 | :2 청황 :8 니레나 | :0 중 흘림표 
 :0 남 | :0 청태 노네 | :2 청황 미는표 :6 니 :8 남 | :2 임 :8 니나* | :2 청황 :8 니 | :2 청황 미는표 :6 니 :8 남 | :0 청태 나니로 | :8 니나* 
 :0 청황 | :6 니 :8 남 | :0 임 | :2 청황 미는표 :6 니 :8 남 | :0 임 | :8 니나* | :2 청태 노네 :8 니나* | :2 청황 :8 쉼표 
 :0 남 | :2 청황 미는표 :6 니 :8 남 | :0 청황 |  | :2 청황 :8 니 | :0 남 네로네 | :0 임 | :0 임 니레 
 :0 남 | :0 청태 느니-르 | :0 남 | :2 임 :8 니나* | :0 청황 | :8 노라 | :0 남 | :0 중 흘림표 
 :0 남 | :0 청태 노네 | :2 청황 미는표 :6 니 :8 남 | :0 청태 느니-르 | :0 남 | :2 청황 미는표 :6 니 :8 남 | :0 청태 나니로 | :8 니나* 
 :0 청황 | :2 - 미는표 :6 니 :8 남 | :0 청태 느니-르 | :2 남 :8 니나* | :0 임 | :2 남 :6 청황 :7 남 :9 임 | :2 청황 :8 니레나 | :0 중 흘림표 
 :0 남 | :0 청태 노네 | :2 청황 미는표 :6 니 :8 남 | :2 임 :8 니나* | :2 청황 :8 청태 | :2 청황 미는표 :6 니 :8 남 | :0 청태 나니로 | :8 니나* 
 :0 청황 | :6 니 :8 남 | :0 임 | :2 청황 미는표 :6 니 :8 남 | :0 임 | :8 니나* | :2 청태 노네 :8 니나* | :2 청황 :8 쉼표 
 :0 남 | :2 청황 미는표 :6 니 :8 남 | :0 청황 | :0 무 
 :0 청황 흘림표 | :2 무 :6 중 :8 무 | :0 청황 흘림표 | :2 무 :6 중 :8 무 | :2 청황 :8 니나* | :2 무 :8 느니 | :2 청황 :5 - 흘림표 :8 무 | :0 중 
 :2 무 :8 청태 | :2 무 :8 청황 | :0 청태 니레 | :2 청황 :8 무 | :2 청황 :8 니나* | :2 무 :8 중 | :2 임 니레 :9 황 노니로 | :0 중 
 :0 청황 흘림표 | :2 무 :6 중 :8 무 | :0 청황 흘림표 | :2 무 :6 중 :8 무 | :2 청황 :8 니나* | :2 무 :8 느니 | :2 청황 :5 - 흘림표 :8 무 | :2 중 :8 쉼표

:2 임 :8 남 | :2 임 :8 남 | :0 청황 |  | :2 청황 :8 남 서침표 | :2 임 :8 남 | :2 청황 :8 남 서침표 | :2 임 :8 쉼표 
 :2 중 미는표 :8 남 :9 노 | :2 청황 :5 - 미는표 :8 남 :9 노 | :1 청황 :3 청태 | :2 청황 :8 남 서침표 | :0 청태 미는표 | :1 남 :3 임 :6 노 :8 남 | :0 중 | :0 쉼표 
 :2 청황 :8 남 서침표 | :2 임 :8 남 | :0 청황 | :0 - 미는표 | :0 임 | :2 남 :6 청황 :7 남 덧길이표 :9 임 반길이표 | :0 청황 미는표 | :0 중 
 :5 태 :9 노 | :2 중 :8 태 | :2 황 :6 니 :8 배남 | :2 배임 :8 배남 니나 | :0 황 | :8 배임 시루표 | :2 배남 :5 쉼표 |  
 :5 남 :9 노 | :2 청황 :8 남 서침표 | :2 임 :6 노 :8 남 | :2 중 :5 - 루러표 :8 중 :9 노 | :0 임 | :2 중 :6 황 시루표 :8 중 미는표 | :0 황 | :8 쉼표 
 :5 남 :9 노 | :2 청황 미는표 :8 임 시루표 | :0 청황 |  | :0 청황 미는표 | :2 임 느니라 :5 남 | :0 임 | :2 임 니레 :5 쉼표 
 :2 남 :6 노 :8 청황 | :0 청태 | :2 남 서침표 :8 남 니나 | :2 임 :8 남 서침표 | :0 청황 | :5 - 미는표 :8 임 시루표 | :0 남 흘림표 | :0 쉼표 
 :2 남 :6 노 :8 청황 | :0 청태 | :2 청황 :5 겹요성표 :8 남 | :2 청태 :8 임 시루표 | :0 남 흘림표 | :0 쉼표 |  |  
 :2 남 :5 청황 | :5 - 미는표 :8 남 | :1 청황 :3 청태 | :0 남 서침표 | :0 임 | :2 남 :6 니 :8 노라 덧길이표/반길이표 | :0 청황 미는표 | :0 중 
 :5 태 :9 노 | :2 중 :8 태 | :2 황 :6 니 :8 배남 | :2 배임 :8 배남 니나 | :0 황 | :8 배임 시루표 | :2 배남 :5 쉼표 |  
 :5 남 :9 노 | :2 청황 :8 남 서침표 | :2 임 :6 노 :8 남 | :2 중 :5 - 루러표 :8 중 :9 노 | :0 임 | :2 중 :6 황 시루표 :8 중 | :0 황 | :8 쉼표 
 :5 남 :9 노 | :2 청황 미는표 :8 임 시루표 | :0 청황 |  | :0 청황 미는표 | :2 임 시루표 :5 남 | :0 임 | :2 임 니레 :5 쉼표 
 :5 청황 :9 임 | :0 청황 미는표 | :2 남 :8 임 | :0 청황 미는표 | :0 임 | :2 남 :6 니 :8 노라 덧길이표/반길이표 | :0 청황 미는표 | :0 중 
 :2 청황 :8 남 서침표 | :2 임 :8 남 | :0 청태 | :2 임 시루표 :5 남 :8 - 미는표 | :0 중 | :0 쉼표 |  |  
 :0 청황 | :0 남 서침표 | :8 남 니레 | :2 임 :8 남 | :0 청황 | :5 - 미는표 :8 임 시루표 | :2 남 :5 쉼표 |  
 :5 남 :9 노 | :0 청황 | :2 청황 :8 남 서침표 | :2 임 :8 남 | :2 청황 :8 남 서침표 | :2 임 :5 쉼표 |  |  
 :2 중 미는표 :8 남 | :2 청황 :8 남 서침표 | :1 청황 :3 청태 | :2 청황 :8 남 서침표 | :0 청태 | :2 임 느니라 :5 남 | :0 중 | :0 쉼표 
 :2 청황 :8 남 서침표 | :2 임 :8 남 | :0 청황 | :0 - 미는표 | :0 임 | :2 남 :6 청황 :7 남 덧길이표 :9 임 반길이표 | :0 청황 미는표 | :0 중 
 :5 태 :9 노 | :2 중 :8 태 | :2 황 :6 니 :8 배남 | :2 배임 :8 배남 니나 | :0 황 | :8 배임 시루표 | :2 배남 :5 쉼표 |  
 :5 남 :9 노 | :2 청황 :8 남 서침표 | :2 임 :6 노 :8 남 | :2 중 :5 - 루러표 :8 중 :9 노 | :0 임 | :2 중 :6 황 시루표 :8 중 미는표 | :0 황 | :8 쉼표 
 :5 남 :9 노 | :2 청황 미는표 :8 임 시루표 | :0 청황 |  | :0 청황 미는표 | :2 임 시루표 :5 남 | :0 임 | :2 임 니레 :5 쉼표 
 :2 남 :6 노 :8 청황 | :0 청태 | :2 남 서침표 :8 남 니나 | :2 임 :8 남 서침표 | :0 청황 | :5 - 미는표 :8 임 시루표 | :0 남 흘림표 | :0 쉼표 
 :2 남 :6 노 :8 청황 | :0 청태 | :2 청황 :5 겹요성표 :8 남 | :2 청태 :8 임 시루표 | :0 남 흘림표 | :0 쉼표 |  |  
