:2 청중 :8 느니 | :0 청임 |  | :2 청임 :5 - 흘림표 :8 니나* | :0 청중 | :8 노라 
 :2 청임 :8 니나* | :0 청중 |  |  |  | :8 쉼표 
 :0 청임 | :9 노 | :2 청임 떠이어표 :8 니나* | :0 청중 | :2 청임 :6 노 :8 청협 | :0 청황 
 :2 청협 :5 - 미는표 :8 청중 | :0 청임 | :2 청무 :8 청임 | :2 청중 :8 느니 | :0 청임 | :6 니로나 :8 느니 
 :0 청임 떠이어표 |  |  |  |  | :8 쉼표 
 :2 청임 :8 니나* | :2 청중 :8 노라 | :0 청임 | :2 같은음표 니레 :8 니나* | :2 청중 :8 노 | :0 청임 
 :2 청임 니레 :6 노 :8 청협 | :0 청황 | :0 청협 니레 | :2 청임 :8 니나* | :0 청중 | :8 노라 
 :2 청임 :8 니나* | :0 청중 | :8 느니 | :0 청임 떠이어표 | :2 같은음표 니레 :6 노 :8 청협 | :0 청황 
 :2 청황 니레 :8 니나* | :0 청중 | :8 니나* | :0 청협 | :8 니나* | :0 청황 
 :2 청협 :8 니나* | :2 청황 노니로 :5 청중 | :2 청임 :8 니나* | :0 청중 | :8 느니 | :2 청임 떠이어표 :9 노 
 :2 청황 :8 니나* | :0 청중 |  | :0 같은음표 | :8 느니 | :2 청임 :6 노 :8 청협 
 :2 청황 :8 니나* | :0 청중 | :2 청임 :6 노 :8 청협 | :0 청황 | :6 니 :8 임 노니로 | :0 청황 
 :2 청협 :5 - 미는표 :8 청중 | :0 청임 | :2 청무 :8 청임 | :2 청중 :8 느니 | :0 청임 떠이어표 | :6 니로나 :8 느니 
 :0 청임 떠이어표 |  |  |  |  | :8 쉼표 
 :2 청임 :8 니나* | :2 청중 :8 노라 | :0 청임 | :2 같은음표 니레 :8 니나* | :2 청중 :9 노 | :0 청임 
 :2 청임 니레 :6 노 :8 청협 | :0 청황 | :0 청협 니레 | :2 청임 :8 니나* | :0 청중 | :8 노라 
 :2 청임 :8 니나* | :0 청중 | :8 느니 | :0 청임 | :2 같은음표 니레 :6 노 :8 청협 | :0 청황 
 :2 청황 니레 :8 니나* | :0 청중 | :8 니나* | :0 청협 | :8 니나* | :0 청황 
 :2 청협 :8 니나* | :2 청황 노니로 :5 청중 | :2 청임 :8 니나* | :0 청중 | :8 느니 | :2 청임 :8 니나* 
 :0 청중 |  | :8 노라 | :0 청중 |  | :8 노라 
 :2 청임 :9 노 | :2 청황 노니로 :5 청중 | :0 청임 | :8 니나* | :0 청중 | :2 청임 :6 노 :8 청협 
 :2 청황 노니로 :5 청중 | :2 청임 :9 노 | :2 청황 :8 니나* | :0 청중 | :2 청협 :8 니나* | :2 청황 :8 쉼표 
 :2 청임 :8 니나* | :2 청중 :8 느니 | :0 청임 | :8 니나* | :0 청중 | :2 청임 :6 노 :8 청협 
 :0 청황 | :2 청협 니레 :9 임 노니로 | :2 청황 :8 니나* | :0 청중 | :8 느니 | :0 청임 
 :0 청임 | :8 니 | :0 청임 떠이어표 | :8 니나* | :0 청중 | :2 청임 :6 노 :8 청협 
 :2 청황 노니로 :5 청중 | :2 청임 :9 노 | :2 청황 :8 니나* | :0 청중 | :2 청협 :8 니나* | :0 청황 
 :0 청임 | :9 노 | :2 청임 떠이어표 :8 니나* | :0 청중 | :9 노 | :0 청임 
 :0 청무 |  | :2 청임 :8 니나* | :0 청중 | :9 노 | :5 청임 :9 니나* 
 :0 청무 |  | :0 청임 | :8 니나* | :0 청중 | :2 청임 :6 노 :8 청협 
 :2 청황 노니로 :5 청중 | :2 청임 :9 노 | :2 청황 :8 니나* | :0 청중 | :0 청무 노네 | :2 청임 :9 노 
 :2 청임 :9 노 | :0 청황 노니로 | :2 청중 :8 느니 | :0 청임 떠이어표 |  |  
 :0 청임 | :11 청무 | :10 청협 :15 노 | :0 청임 |  | :0 청무 
 :0 청임 | :11 청무 | :10 청협 :15 노 | :0 청임 |  | :0 청무 
 :0 청임 | :0 청중 | :0 청무 노네 | :11 노라 | :0 청무 | :11 노라 
 :0 청임 | :10 청중 :15 노 | :10 청황 :11 청임 | :0 청중 | :11 노라 | :0 청중 
 :0 청임 | :10 청중 :15 노 | :0 청황 | :10 청협 :15 노 | :0 청중 | :11 노라 
 :0 청임 | :11 니나* | :0 청무 흘림표 | :10 청임 :11 니나* | :0 청중 | :11 노라 
 :0 청무 노네 | :0 청임 | :11 노라 | :0 청황 | :10 청협 :15 노 | :0 청중 
 :0 청임 | :9 니 | :10 청협 :15 노 | :0 청임 |  | :0 청무 흘림표 
 :0 청임 |  |  |  |  |  
 :0 청임 | :10 청협 미는표 :11 청중 | :11 느니 | :0 청임 떠이어표 |  |  
 :0 청임 | :11 청중 | :0 청무 노네 | :11 노라 | :0 청임 | :10 청중 :15 노 
 :0 청황 | :10 청협 :15 노 | :10 청중 :15 노 | :0 청황 | :11 니나* | :0 청중 
 :0 청무 노네 | :0 청임 | :2 청협 :5 청임 :8 청무 | :10 청임 :11 니나* | :10 청중 :15 노 | :0 청황 
 :10 청중 :11 느니 | :0 청임 떠이어표 |  | :0 같은음표 | :11 니나* | :10 청협 :15 노 
 :0 청임 |  |  | :0 청임 | :10 청무 :15 노 | :10 청협 :15 노 
 :10 청중 :11 느니 | :0 청임 떠이어표 |  | :0 청임 |  | :0 청무 흘림표 
 :0 청임 | :0 청중 | :11 노 | :0 청황 | :5 청협 :9 노 | :0 청중 
 :0 청임 | :0 청협 흘림표 | :0 청무 노네 | :0 청임 | :5 청중 :9 노 | :0 청황 
 :0 청임 | :0 같은음표 | :5 같은음표 :9 노 | :0 청임 | :9 니나* | :0 청무 
 :0 청임 | :0 같은음표 | :5 같은음표 :9 노 | :10 청임 :11 니나* | :10 청협 미는표 :11 청중 | :11 느니

:0 협 미는표 | :0 임 서침표 |  | :2 임 :8 니나* | :0 중 | :8 황 시루표 
 :2 임 흘림표 :8 니나* | :0 중 |  | :0 중 |  | :9 니 
