:0 청임 | :0 청남 | :8 청임 | :0 청중 흘림표 | :2 청태 :8 니나* | :0 청태 나니로 
 :2 청임 :9 니 | :0 청중 | :0 청임 | :0 청남 노네 | :8 니나* | :0 청임 
 :2 청남 :8 청임 | :0 청중 |  | :0 같은음표 | :5 - 흘림표 :8 청태 나니나 | :2 청황 미는표 :6 니 :8 남 
 :2 청태 :9 청중 | :0 청임 | :8 청중 | :0 청임 떠이어표 | :2 청중 :5 청임 :9 청중 | :2 청태 :8 쉼표 
 :0 청남 노네 | :0 청임 | :2 청중 :8 느니 | :0 청임 떠이어표 | :0 청남 노네 |  
 :0 청남 | :0 청임 | :0 청남 | :0 청임 | :2 청중 :8 느니 | :0 청임 떠이어표 
 :0 청중 | :8 청임 | :0 청남 | :8 청임 | :2 청중 :8 청태 | :2 청황 :6 청중 :8 청태 
 :2 청임 :9 니 | :0 청중 | :0 청임 | :0 청남 노네 | :8 니나* | :0 청임 
 :2 청남 :8 청임 | :0 청중 |  | :0 같은음표 | :5 - 흘림표 :8 청태 나니나 | :2 청황 미는표 :6 니 :8 남 
 :2 청태 :9 청중 | :0 청임 | :8 청중 | :0 청임 떠이어표 | :2 청중 :5 청임 :9 청중 | :2 청태 :8 쉼표 
 :0 청임 | :0 청남 | :8 청임 | :0 청중 흘림표 | :2 청태 :8 니나* | :0 청태 나니로 
 :2 청임 :9 니 | :0 청중 | :0 청임 | :0 청남 노네 | :8 니나* | :0 청임 
 :2 청남 :8 청임 | :0 청중 | :8 청황 노니로 | :2 청중 :6 청황 :8 청중 | :0 청남 노네 | :0 청임 
 :0 청남 | :0 청임 | :8 청중 | :0 청임 떠이어표 | :0 청남 | :0 청임 
 :0 청남 | :0 청임 | :8 청중 | :0 청임 떠이어표 | :0 청남 | :8 청임 
 :2 청남 :8 청임 | :0 청중 | :8 청황 노니로 | :2 청중 :6 청황 :8 청중 | :0 청남 노네 | :0 청임 
 :0 청중 | :8 청태 | :2 청중 :8 청태 | :0 청임 | :2 청중 :5 - 흘림표 :8 청태 | :2 청황 :5 청태 
 :2 청임 :8 청남 끊는표 | :0 청임 떠이어표 | :2 청남 :8 청임 | :2 청중 :5 - 흘림표 :8 청태 | :0 청임 | :0 청중 
 :0 청임 | :0 청태 | :0 청임 | :8 청태 | :2 청중 :5 - 흘림표 :8 청태 | :2 남 노니로 :5 청태 
 :0 청임 | :0 청남 |  | :0 같은음표 | :8 니나* | :0 청임 
 :2 청중 :5 - 흘림표 :8 청태 | :0 청임 |  | :0 청중 | :0 같은음표 니레 | :0 청태 농음표 
 :0 청중 | :0 같은음표 니레 | :0 청남 | :0 청중 | :0 같은음표 흘림표 | :0 청태 농음표 
 :0 청임 | :0 청중 | :8 청태 | :0 청중 | :0 청남 노네 | :2 청임 :9 청태 
 :0 청임 |  |  | :8 청남 끊는표 | :2 청임 떠이어표 :8 니나* | :2 청중 :8 쉼표 
 :0 청임 | :0 청남 |  |  |  |  
 :0 청임 | :0 청중 | :0 청임 | :0 청남 노네 | :8 니나* | :0 청임 
 :2 청남 :8 청임 | :0 청중 |  | :0 같은음표 | :5 - 흘림표 :8 청태 나니나 | :2 청황 미는표 :6 니 :8 남 
 :2 청태 :9 청중 | :0 청임 | :8 청중 | :0 청임 떠이어표 | :2 청중 :5 청임 :9 청중 | :2 청태 :8 쉼표 
 :2 청임 :9 청중 | :0 청태 | :0 청임 떠이어표 | :0 청남 | :8 니나* | :0 청임 
 :0 청남 | :8 청임 | :2 청중 :5 - 흘림표 :8 청태 | :0 청임 | :0 청남 | :8 청임 
 :2 청남 :8 청임 | :0 청중 | :0 청남 노네 | :8 청임 | :10 청남 :11 청임 | :0 청중 
 :2 청남 노네 :8 청임 | :0 청중 | :0 같은음표 | :0 청남 노네 | :2 청임 :9 니 | :2 청임 떠이어표 :8 청중 흘림표 
 :2 청태 :5 청중 :8 - 흘림표 | :0 청태 | :9 남 노니로 | :0 청태 | :9 남 노니로 | :0 청태 
 :0 청중 | :5 - 흘림표 :8 청태 | :0 청중 | :0 청임 | :2 청중 :8 느니 | :2 청임 떠이어표 :8 청중 흘림표 
 :2 청태 :5 청중 :8 - 흘림표 | :0 청태 | :9 남 노니로 | :0 청태 | :9 남 노니로 | :0 청태 
 :0 청중 | :5 - 흘림표 :8 청태 | :0 청중 | :0 청임 | :8 니나* | :2 청남 :8 청임 
 :0 청중 흘림표 | :2 남 :6 니 :8 노라 | :0 청황 | :0 같은음표 니나 | :0 청중 | :8 노라 
 :0 청중 | :2 청황 미는표 :6 니 :8 남 | :2 청태 :9 노 | :0 청임 | :0 청중 흘림표 | :2 청태 :8 쉼표 
 :0 청중 | :8 청태 | :2 청중 :8 청태 | :2 청황 :5 - 미는표 :8 청태 | :2 남 :6 노 :8 청황 나니나 | :0 임 
 :0 청태 니레 | :8 청황 | :2 남 :5 임 | :0 청황 | :2 청태 니레 :9 노 | :0 청중 
 :2 청중 :5 - 흘림표 :8 청태 | :0 청태 나니로 | :0 청임 | :2 청남 :8 청임 | :2 청중 :8 청태 | :2 남 노니로 :5 청태 
 :0 청임 떠이어표 | :0 청남 | :8 청임 | :0 중청황 | :2 청남 :8 니나* | :0 청임 
 :0 청남 | :8 청임 | :2 청중 :5 청태 | :0 청임 | :0 청남 | :2 청임 :9 노 
 :2 청태 :9 노 | :0 청중 | :8 청태 | :0 청임 | :2 청중 :5 - 흘림표 :8 청태 | :2 청황 :8 쉼표 
 :0 청중 | :0 청황 농음표 | :0 청중 | :0 청황 농음표 | :0 청중 | :2 청황 농음표 :8 쉼표 
 :2 청중 :8 청태 | :0 청황 | :0 같은음표 니나 | :0 청중 | :0 청태 | :5 청황 :8 쉼표 
 :0 청임 떠이어표 | :0 청남 |  |  |  |  
 :2 청임 :8 청중 | :0 청태 | :0 청임 떠이어표 | :0 청남 |  |  
 :2 청임 :8 청중 | :0 청태 | :0 청중 | :0 청남 노네 | :2 청중 :8 느니 | :0 청임 떠이어표 
 :0 청남 | :0 청임 | :8 청중 | :0 청임 떠이어표 | :2 청태 :9 노 | :0 청임 
 :2 청남 :8 니나* | :0 청임 |  |  |  | :8 쉼표 
 :0 청임 | :0 청중 | :0 청임 | :0 청남 노네 | :8 니나* | :0 청임 
 :2 청남 :8 청임 | :0 청중 | :8 청황 노니로 | :0 청중 | :0 청남 노네 | :0 청임 
 :2 청남 :8 청임 | :0 청중 | :8 청황 노니로 | :0 청중 | :0 청남 노네 | :8 청임 
 :0 청중 | :0 청남 | :0 청임 | :0 청중 | :0 청남 |  
 :0 청임 떠이어표 | :0 청남 |  |  | :8 니나* | :2 청임 :8 쉼표 
 :0 청중 | :8 청태 | :2 청중 :8 청태 | :2 청황 :5 - 미는표 :8 청태 | :2 남 :6 노 :8 청황 나니나 | :0 임 
 :0 청태 니레 | :8 청황 | :2 남 :5 임 | :0 청황 | :2 청태 니레 :9 노 | :0 청중 
 :2 청중 :8 청태 | :0 청태 나니로 | :0 청임 | :0 청남 | :8 청임 | :2 청중 :5 청태 
 :0 청임 | :0 청남 | :8 청임 | :0 중청황 | :2 청남 :8 니나* | :0 청임 
 :0 청남 | :8 청임 | :2 청중 :5 청태 | :0 청임 | :0 청남 | :8 청임 
 :2 청남 :8 청임 | :0 청중 | :0 청남 노네 | :8 청임 | :2 청남 :8 청임 특강표 | :0 청중 
 :2 청남 노네 :8 청임 | :0 청중 | :0 같은음표 니레 | :0 청남 | :2 청임 :9 청남 | :2 청임 떠이어표 :8 청중 
 :2 청태 :9 청중 | :0 청임 | :8 청중 | :0 청태 | :8 남 노니로 | :2 청태 :6 니 :8 노라 
 :0 청중 | :8 청태 | :0 청황 | :0 청중 | :8 느니 | :2 청임 떠이어표 :8 청중 
 :2 청임 :9 노 | :0 청태 노니로 | :0 청임 떠이어표 | :0 청남 |  |  
 :0 청임 떠이어표 | :0 청남 |  |  |  |  
 :0 청임 | :0 청남 | :8 청임 | :2 청중 :8 느니 | :0 청임 떠이어표 | :2 같은음표 니나 :8 청중 
 :0 청태 | :8 청중 | :2 청태 :8 청황 | :0 청중 | :8 청태 | :2 청황 :6 리 :8 청태 
 :0 청중 흘림표 | :2 남 :6 니 :8 노라 | :0 청황 | :0 같은음표 니나 | :0 청중 | :8 노라 
 :0 청중 | :2 청황 미는표 :6 니 :8 남 | :2 청태 :9 노 | :0 청임 | :0 청중 흘림표 | :0 청태 
 :0 청중 | :8 청태 | :2 청중 :8 청태 | :2 청황 :5 - 미는표 :8 청태 | :2 남 :6 노 :8 청황 나니나 | :2 임 :8 쉼표

:0 청태 | :0 남 서침표 |  | :0 남 |  | :0 남 흘림표 
 :2 임 :6 노 :8 남 미는표 | :5 중 :9 노 | :2 임 :5 남 | :0 청태 | :2 남 서침표 :8 니나* | :0 임 
 :2 남 서침표 :8 임 | :0 중 |  | :0 중 | :5 - 미는표 :8 태 | :2 황 :6 니 :8 배남 
 :0 태 | :0 임 | :5 - 미는표 :8 태 | :0 임 흘림표 | :5 중 :9 니 | :2 태 :8 쉼표 
 :0 남 흘림표 | :2 임 :6 노 :8 남 미는표 | :2 중 :5 - 흘림표 :8 태 | :0 임 | :0 청태 흘림표 | :0 청황 
 :0 청황 미는표 | :0 임 | :0 남 | :0 청태 흘림표 | :0 청황 | :2 남 서침표 :5 임 
 :0 청황 | :2 남 서침표 :5 임 | :0 청황 | :2 남 서침표 :8 임 | :0 청황 | :0 청황 미는표 
 :2 임 :6 노 :8 남 미는표 | :0 중 | :2 임 :5 남 | :0 청태 | :0 남 서침표 | :0 임 
 :2 남 서침표 :8 임 | :0 중 |  | :0 중 | :5 - 미는표 :8 태 | :2 황 :6 니 :8 배남 
 :0 태 | :0 임 | :5 - 미는표 :8 태 | :0 임 흘림표 | :5 중 :9 니 | :2 태 :8 쉼표 
 :0 청태 | :0 남 서침표 | :8 임 | :0 중 흘림표 | :2 태 :8 니나* | :2 황 :8 태 
 :2 임 :6 노 :8 남 미는표 | :0 중 | :2 임 :5 남 | :0 청태 | :2 남 서침표 :8 니나* | :0 임 
 :2 남 서침표 :8 임 | :0 중 | :0 - 루러표 | :0 중 | :0 남 흘림표 | :2 임 :8 남 
 :0 청황 | :2 남 서침표 :5 임 | :0 중 | :0 임 | :0 청태 흘림표 | :0 청황 
 :0 청황 미는표 | :2 임 :6 노 :8 남 미는표 | :5 중 :9 노 | :0 임 | :0 남 서침표 | :5 - 흘림표 :8 임 
 :2 남 서침표 :8 임 | :0 중 | :0 - 루러표 | :0 중 | :0 남 흘림표 | :2 임 :8 남 
 :0 청황 |  | :0 청황 | :2 남 서침표 :8 임 | :0 중 | :0 중 니나 
 :0 임 | :5 임 니레 :9 노 | :0 남 미는표 | :0 중 | :0 청태 흘림표 | :0 청황 
 :0 청태 | :5 남 서침표 :9 노 | :0 청황 | :5 남 서침표 :9 노 | :0 청황 | :0 남 서침표 
