:0 무 |  | :0 이 | :0 중 | :11 청황 | :10 무 :11 이 | :0 중 | :11 니나* | :0 무 | :0 청황 | :15 니 | :10 청황 :15 노 
 :0 이 노니로 |  | :11 쉼표 | :0 이 니레 | :15 노 | :0 협 흘림표 | :0 황 | :11 니나* | :0 중 | :10 이 미는표 :11 무 |  |  
 :0 무 |  |  | :0 중 니레 | :11 협 | :0 황 | :0 중 | :11 이 | :0 중 | :10 이 미는표 :11 무 |  |  
 :0 무 | :15 노 | :0 중 | :0 이 | :10 - 흘림표 :11 쉼표 | :0 청황 | :0 무 | :15 노 | :0 중 | :0 이 | :11 쉼표 | :0 청황 
 :0 무 | :15 노 | :0 중 | :0 이 | :11 쉼표 | :0 청황 | :0 청황 니레 | :11 무 특강표 | :0 이 나니나 | :0 중 |  | :0 이 
 :10 청황 :11 청협 |  | :0 - 흘림표 | :0 청황 |  |  | :0 청황 니레 | :15 니 | :10 이 :15 노 | :0 청황 |  | :0 청협 흘림표 
 :0 청황 | :15 니 | :0 이 | :0 청황 |  | :0 청협 흘림표 | :0 청황 | :15 노 | :0 청황 | :0 청협 | :0 - 미는표 | :0 청중 
 :10 이 미는표 :11 무 | :15 노 | :0 중 | :0 이 | :0 무 | :0 청황 | :0 청황 니레 | :15 노 | :0 청황 | :0 무 | :0 무 니레 | :0 청황 
 :0 이 | :0 중 |  | :0 이 니레 | :15 노 특강표 | :0 협 흘림표 | :0 황 | :11 니나* | :0 중 | :0 이 | :11 중 | :0 무 
 :0 청황 노니로 |  |  | :0 청황 니레 | :11 무 특강표 | :0 청황 | :0 청협 | :0 - 흘림표 | :0 청황 나니나 | :10 이 미는표 :11 무 | :11 이 | :0 중 
 :0 청황 | :15 노 특강표 | :0 이 나니나 | :0 중 |  | :0 이 | :0 청황 | :11 니나* | :0 무 | :0 청황 |  | :0 청협 
 :0 황 | :11 니나* | :0 중 | :0 이 | :11 노 | :0 무 | :0 청황 | :11 노 | :0 이 나니나 | :0 중 |  | :0 이 
 :0 청황 노니로 |  |  | :0 청황 니레 | :11 노 | :0 청황 | :0 청협 |  | :0 청황 나니나 | :10 이 미는표 :11 무 | :11 노 | :0 이 
 :0 청황 | :15 니 | :0 청황 | :10 이 미는표 :11 무 |  | :0 이 | :0 중 | :11 니나* | :0 무 | :0 청황 | :15 니 | :10 청황 :15 노 
 :0 이 | :0 같은음표 |  | :0 이 니레 | :11 노 | :0 협 | :0 황 | :11 니나* | :0 중 | :0 이 미는표 | :0 무 | :0 청황 
 :0 청협 | :0 - 흘림표 | :0 청황 |  | :11 니 | :0 청황 나니나 | :10 이 미는표 :11 무 | :11 노 | :0 중 | :0 이 | :0 무 | :0 청황 
 :0 청황 니레 |  |  | :0 이 | :0 청황 | :0 청협 흘림표 | :0 청황 | :11 노 | :0 이 나니나 | :0 중 | :11 황 노니로 | :0 중 
 :10 이 :11 중 |  | :11 황 노니로 | :0 중 |  | :0 이 | :10 이 나니나 :11 중 |  | :11 황 노니로 | :0 중 |  | :0 이 
 :0 청황 노니로 |  |  | :0 청황 니레 | :11 노 | :0 청황 | :0 청협 |  | :0 - 흘림표 | :0 청황 | :11 노 | :0 이 
 :0 청황 | :11 니나* | :0 무 | :0 무 니레 |  |  | :0 청황 |  | :0 청협 | :0 무 | :0 - 흘림표 | :0 이 
 :0 청황 | :11 니나* | :0 무 | :0 무 니레 | :0 - 흘림표 | :0 이 | :0 청황 | :11 니나* | :0 무 | :0 무 니레 |  | :0 청협 
 :10 무 :11 청협 |  |  | :0 무 |  | :0 청협 흘림표 | :0 청황 | :11 노 | :0 이 나니나 | :0 중 | :11 황 노니로 | :0 중 
