:0 쉼표 |  |  |  |  |  |  |  | :9 니로나 | :10 청황 노니로 :11 청중 | :10 청임 떠이어표 :11 청무 | :0 청임 떠이어표 | :6 니나* :8 청중 | :2 청임 떠이어표 :6 니나* :8 청중 | :2 청임 흘림표 :5 청무 
  | :0 청중 |  |  |  |  | :0 청임 | :6 노 :8 청무 느니-르 | :2 청중 :5 쉼표 :8 청중 |  |  |  |  |  |  |  | :1 청임 :3 청무 :9 니나* | :0 청임 떠이어표 | :6 니나* :8 청중 | :2 청임 흘림표 :5 청무 
  | :0 청중 |  |  | :0 청임 떠이어표 |  |  |  | :6 니나* :8 청중 | :2 청임 흘림표 :5 청무 | :8 노라 | :0 청임 떠이어표 |  | :6 노 :8 청무 느니-르 | :0 청중 |  | :1 청임 :3 청무 :9 니나* | :0 청임 떠이어표 | :6 니나* :8 청중 | :2 청임 흘림표 :5 청무 
  | :0 청중 |  |  |  | :6 노라 :8 니 | :0 청황 | :8 니레나 | :0 임 느로니르 흘림표 | :2 중 :9 임 나니나 | :0 청태 나니로 | :0 - 흘림표 | :0 청황 니나 | :6 청태 니레 :8 청황 | :0 청중 |  |  |  |  | :2 청임 흘림표 :5 청무 
  | :8 노라 | :0 청임 떠이어표 |  |  | :6 노 :8 청무 느니-르 | :0 청중 | :6 노라 :8 니 흘림표 | :0 청황 나니로 | :8 니레나 | :1 임 :3 중 :8 임 노니로 | :0 청태 나니로 흘림표 | :0 청황 니나 | :9 니레나 | :0 임 노니로 | :2 중 :8 임 나니나 | :2 청태 나니로 :6 노 :8 청중 | :2 청황 :8 니레나 | :2 청중 :6 노라 :8 니 | :2 청임 흘림표 :5 청무 
  | :8 노라 | :0 청임 떠이어표 |  |  | :6 노 :8 청무 느니-르 | :0 청중 |  |  | :2 청임 흘림표 :5 청무 |  | :8 노라 | :0 청임 떠이어표 |  | :2 청중 특강표 :5 청임 | :6 노 :8 청무 느니-르 | :0 청중 끊는표 | :2 청황 :6 니나* :8 청중 | :2 청임 떠이어표 :6 니나* :8 청중 | :2 청임 흘림표 :5 청무 
  | :0 청중 |  |  |  |  | :0 청임 | :6 노 :8 청무 느니-르 | :0 청중 끊는표 | :2 청임 흘림표 :5 청무 | :8 노라 | :0 청임 |  | :6 노 :8 청무 느니-르 | :0 청중 |  | :1 청임 :3 청무 :9 니나* | :0 청임 떠이어표 | :6 니나* :8 청중 | :2 청임 흘림표 :5 청무 
  | :0 청중 |  |  |  | :6 노라 :8 니 | :0 청황 | :8 니레나 | :0 임 느로니르 흘림표 | :2 중 :9 임 나니나 | :0 청태 나니로 | :0 - 흘림표 | :0 청황 니나 | :6 청태 니레 :8 청황 | :0 청중 |  |  |  |  | :2 청임 흘림표 :5 청무 
  | :8 노라 | :0 청임 떠이어표 | :6 노 :8 청무 느니-르 | :0 청중 | :2 청황 니레 :8 니나* | :0 청중 | :0 청태 느로니르 | :10 청황 노니로 :11 청중 | :10 청임 떠이어표 :11 청무 | :0 청임 떠이어표 | :6 노 :8 청무 느니-르 | :2 청중 :6 노라 :8 니 | :0 청황 | :0 청태 느로니르 | :0 - 흘림표 | :1 청황 :3 청중 :6 노라 :8 니 | :0 청황 나니로 | :2 청임 떠이어표 :6 니나* :8 청중 | :2 청임 흘림표 :5 청무 
  | :0 청중 끊는표 | :2 청임 흘림표 :5 청무 | :8 노라 | :0 청임 떠이어표 |  |  |  | :6 니나* :8 청중 | :2 청임 흘림표 :5 청무 | :0 청임 떠이어표 | :6 노 :8 청무 느니-르 | :2 청중 :6 노라 :8 니 | :2 청황 :9 니나* | :0 청중 |  | :1 청임 :3 청무 :9 니나* | :0 청임 떠이어표 | :6 니나* :8 청중 | :2 청임 흘림표 :5 청무 
  | :0 청중 |  |  |  | :6 노라 :8 니 | :0 청황 | :8 니레나 | :0 임 느로니르 흘림표 | :2 중 :9 임 나니나 | :0 청태 나니로 | :0 - 흘림표 | :5 청황 니나 :9 니레나 | :0 청중 흘림표 | :1 남 노니로 :3 청태 | :2 청중 :5 - 흘림표 :8 청태 | :2 청임 :8 청중 흘림표 | :0 청태 느로니르 | :1 청황 :3 청중 :6 노라 :8 니 | :2 청황 :6 니나* :8 무 
 :1 중 :3 느니 :5 임 | :8 니나* | :0 청황 |  | :0 청황 니나 | :6 청중 :7 청태 :9 청황 | :2 중 :8 임 나니나 | :0 청황 끊는표 | :2 청태 나니로 :6 니 :7 청임 :9 청무 | :0 청임 떠이어표 | :2 청중 :5 - 흘림표 :8 청태 나니나 | :0 청황 | :8 니레나 | :2 임 노니로 :6 노 :8 무 느니-르 | :0 중 |  |  | :2 청태 나니로 :6 청중 :8 느니 | :0 청임 떠이어표 |  
  |  |  | :6 니나* :8 청중 | :0 청태 느로니르 | :6 니나* :8 청황 | :2 청임 흘림표 :5 청무 | :2 청임 :8 니나* | :2 청중 :6 노라 :8 니 | :2 청황 늘임표 :8 니레나 | :1 임 :3 중 :8 임 니레 | :0 청태 나니로 흘림표 | :0 청황 니나 | :6 청태 니레 :8 청황 나니나 | :0 청중 |  | :1 청임 :3 청무 :9 니나* | :0 청임 떠이어표 | :6 니나* :8 청중 | :2 청임 흘림표 :5 청무 
  | :0 청중 |  |  |  |  |  | :8 느니 | :2 청임 떠이어표 :8 니나* | :2 청중 :6 노라 :8 니 | :0 청황 | :6 청태 니레 :8 청황 나니나 | :0 청중 |  |  | :8 느니 | :2 청임 떠이어표 :6 니나* :8 청중 | :2 청황 니레 :6 니나* :8 청중 | :2 청임 떠이어표 :6 니나* :8 청중 | :2 청임 흘림표 :5 청무

 |  |  |  |  | :0 중 | :6 노 :8 임 | :0 청황 |  | :0 임 서침표 |  |  | :2 - 흘림표 :8 중 | :0 쉼표 |  
 :2 중 :5 무 :8 - 미는표 | :0 중 |  |  |  |  |  |  |  |  |  |  |  |  |  | :8 태 흘림표 | :0 쉼표 |  |  |  
 :2 중 :5 무 :8 - 미는표 | :0 중 |  | :6 노 :8 임 | :0 청황 |  | :0 임 서침표 |  | :2 - 흘림표 :8 중 | :0 쉼표 | :2 중 :5 무 :8 - 미는표 | :1 임 :3 청황 |  | :0 임 서침표 흘림표 | :0 중 니나 |  | :0 쉼표 |  |  |  
 :2 중 :5 무 :8 - 미는표 | :0 중 |  |  |  | :8 니나* | :0 황 시루표 | :7 황 니나 :9 태 | :0 배임 미는표 | :0 겹요성표 | :0 태 니나 | :0 - 흘림표 | :1 배임 :3 황 | :0 - 루러표 | :0 중 | :8 태 흘림표 | :0 쉼표 |  |  |  
 :2 임 :5 청황 | :8 임 서침표 | :0 청황 |  | :0 임 서침표 | :0 - 흘림표 | :0 중 니나 | :0 - 미는표 | :0 황 시루표 | :7 황 니나 :9 태 | :2 배임 :5 겹요성표 :9 배무 니나 | :10 황 :11 겹요성표 | :0 황 | :7 황 니나 :9 태 | :0 배임 미는표 | :0 겹요성표 | :0 쉼표 |  |  |  
 :2 중 :5 무 | :2 - 미는표 :8 임 | :0 청황 |  | :0 임 서침표 | :0 - 흘림표 | :0 중 니나 |  | :8 태 흘림표 | :0 쉼표 | :2 중 :5 무 |  | :0 임 서침표 |  |  | :2 - 흘림표 :8 중 | :0 쉼표 |  |  |  
 :2 중 :5 무 :8 - 미는표 | :0 중 |  |  |  |  |  |  | :8 태 흘림표 | :0 쉼표 | :2 중 :5 무 :8 - 미는표 | :1 임 :3 청황 |  | :0 임 서침표 흘림표 | :0 중 니나 |  | :0 쉼표 |  |  |  
 :2 중 :5 무 :8 - 미는표 | :0 중 |  |  |  | :8 니나* | :0 황 시루표 | :7 황 니나 :9 태 | :0 배임 미는표 | :0 겹요성표 | :0 태 니나 | :5 - 흘림표 :9 니 | :1 배임 :3 황 | :0 - 루러표 | :0 중 | :8 태 | :0 쉼표 |  |  |  
 :2 중 :5 무 | :5 - 미는표 :8 임 | :0 청황 흘림표 | :10 무 :11 겹요성표 | :2 임 서침표 :5 - 흘림표 :8 중 | :0 황 시루표 루러표 | :0 중 | :0 태 니나 흘림표 | :0 쉼표 |  | :2 중 :5 임 서침표 | :8 임 서침표 | :0 중 미는표 | :0 황 시루표 | :0 태 나니로 | :0 - 흘림표 | :0 쉼표 |  |  |  
 :2 중 :5 무 :8 - 미는표 | :0 중 반길이표 | :0 쉼표 | :2 중 :5 무 :8 - 미는표 | :0 임 | :5 - 루러표 :8 임 :9 노 | :0 청황 | :8 임 서침표 | :0 청황 흘림표 | :0 무 흘림표 | :2 중 :5 임 서침표 | :8 임 서침표 | :0 중 미는표 | :0 황 시루표 루러표 | :0 중 |  | :0 쉼표 |  |  |  
 :2 중 :5 무 :8 - 미는표 | :0 중 |  |  |  | :8 니나* | :0 황 시루표 | :7 황 니나 :9 태 | :0 배임 미는표 | :0 겹요성표 | :0 태 니레 | :5 - 흘림표 :9 니 | :1 배임 :3 황 | :0 - 루러표 | :2 중 미는표 :8 황 시루표 | :2 태 :5 - 흘림표 :8 쉼표 |  |  |  |  
 :2 중 :5 무 | :5 - 미는표 :8 임 | :0 청황 |  | :0 청황 노니로 | :0 - 흘림표 | :0 무 | :0 - 미는표 | :1 임 :3 청황 :5 쉼표 |  | :2 중 :5 무 :8 - 미는표 | :1 임 :3 청황 |  | :0 임 서침표 흘림표 | :0 중 니나 |  | :0 쉼표 |  |  |  
 :0 태 | :0 임 서침표 |  | :0 - 미는표 | :0 태 |  |  | :0 - 흘림표 | :0 황 노리노 | :8 배무 | :2 배임 :5 배임 :9 배무 시루표 | :10 황 :11 겹요성표 | :0 황 | :0 - 루러표 | :0 중 | :8 태 | :0 쉼표 |  |  |  
 :2 중 :5 무 :8 - 미는표 | :0 중 |  |  |  |  | :0 중 | :8 임 서침표 | :8 임 서침표 | :0 중 | :2 태 니나 :5 황 흘림표 | :0 - 루러표 | :0 중 |  |  |  | :0 쉼표 |  |  | 

 |  |  |  |  |  |  |  |  | :1 황 :3 중 | :2 중 :5 - 미는표 :8 황 | :0 임 흘림표 | :2 임 니레 :5 - 흘림표 :8 중 | :2 황 :8 태 | :0 중 
  | :0 중 |  |  |  | :5 - 미는표 :8 황 | :0 임 | :0 - 풀어내림표 | :2 임 니레 :5 중 |  |  |  |  |  | :0 중 | :0 - 미는표 | :0 황 노니로 | :0 황 | :2 - 농음표 :8 태 | :0 중 
  | :0 중 |  | :5 - 미는표 :8 태 | :0 임 | :0 - 미는표 | :0 태 | :5 - 흘림표 :8 황 | :1 황 :3 중 :8 - 미는표 | :0 황 노니로 | :2 배중 :5 배임 | :0 황 | :2 배임 :5 - 흘림표 :8 배무 끊는표 | :0 황 | :0 중 |  | :2 배임 :5 - 흘림표 :8 배무 끊는표 | :0 황 | :2 황 :8 태 | :0 중 
  | :0 중 |  |  |  |  | :0 황 노니로 | :2 - 농음표 :8 태 | :0 배임 흘림표 | :2 배중 :8 배임 | :0 태 나니로 | :2 태 :5 - 흘림표 :8 황 | :0 황 | :2 - 농음표 :8 태 | :0 중 |  | :2 배임 흘림표 :6 배무 :8 황 | :2 중 :5 - 미는표 :8 태 흘림표 | :1 황 :3 중 :5 - 미는표 :8 황 노니로 | :0 황 
 :2 임 :5 무 | :0 - 겹흘림표 | :0 임 | :0 무 겹흘림표 | :0 임 | :0 - 풀어내림표 | :2 임 니레 :5 중 | :0 - 미는표 | :0 황 노니로 | :2 - 농음표 :8 태 | :0 배임 흘림표 | :2 배중 :8 배임 | :0 태 나니로 흘림표 | :2 황 :8 니레나 | :0 배임 흘림표 | :2 배중 :8 배임 | :2 태 나니로 :5 - 흘림표 :8 황 | :2 중 :5 - 미는표 :8 태 | :1 황 :3 중 :5 - 미는표 :8 황 노니로 | :0 황 
 :2 임 :5 무 | :0 - 겹흘림표 | :0 임 |  | :0 임 | :0 - 풀어내림표 | :2 임 니레 :5 중 |  |  | :2 임 :5 무 |  | :0 - 겹흘림표 | :0 임 |  | :2 - 풀어내림표 :8 임 니레 | :0 중 | :2 임 니레 :5 - 흘림표 :8 중 | :0 황 노니로 | :2 황 :8 태 | :0 중 
  | :0 중 |  |  |  |  | :0 중 |  | :8 황 | :2 임 :5 중 | :2 배중 :5 배임 | :0 황 | :2 배임 :5 - 흘림표 :8 배무 끊는표 | :0 황 | :0 중 |  | :2 배임 :5 - 흘림표 :8 배무 끊는표 | :0 황 | :2 황 :8 태 | :0 중 
