 |  | :0 청협 | :8 청임 떠이어표 |  |  | :1 청임 :3 청무 | :9 니나* | :0 청임 떠이어표 |  |  | :6 노 :8 청무 느니-르 | :0 청중 | :8 느니 | :0 청임 떠이어표 | :8 니나* | :0 청중 |  | :2 청임 떠이어표 :6 니나* :8 청중 | :2 청임 흘림표 :5 청무 :9 니나* 
 :0 청임 떠이어표 | :8 청중 | :2 청황 니레 :8 니나* | :0 청중 |  |  | :1 청황 노니로 :3 청중 | :8 느니 | :0 청임 떠이어표 |  |  | :6 노 :8 청무 느니-르 | :2 청중 :5 쉼표 :8 청중 |  |  |  | :6 노라 :8 청협 | :2 청황 :6 니나* :8 청중 | :2 청임 떠이어표 :6 니나* :8 청중 | :2 청임 흘림표 :5 청무 
  | :0 청임 |  | :0 청무 끊는표 | :0 청임 떠이어표 | :6 니로나 :8 느니 | :2 청임 떠이어표 :8 니나* | :2 청중 :6 노라 :8 청협 | :0 청황 너녜 | :6 니나* :8 청중 | :0 청임 떠이어표 | :8 니나* | :0 청중 | :8 느니 | :0 청임 떠이어표 | :9 니나* | :0 청무 | :9 니나* | :0 청임 | :6 노 :8 청무 느니-르 
 :2 청중 :5 쉼표 :8 청중 |  |  |  |  |  | :1 청황 노니로 :3 청중 | :6 노라 :8 청협 | :0 청황 | :6 니나* :8 무 흘림표 | :0 임 느로니르 | :2 중 :8 임 나니나 | :2 청태 나니로 :5 청황 니나 | :8 니나* | :0 청중 |  | :6 노라 :8 청협 | :2 청황 :6 니나* :8 청중 | :2 청임 떠이어표 :6 니나* :8 청중 | :2 청임 흘림표 :5 청무 
 :0 청임 떠이어표 |  | :6 니나* :8 청중 | :1 청임 :3 청무 :9 니나* | :0 청임 떠이어표 |  | :8 니나* | :2 청중 :6 노라 :8 청협 | :0 청황 | :6 니나* :8 청중 | :0 청임 떠이어표 |  | :8 니나* | :2 청중 :6 노라 :8 청협 | :1 임 노니로 :3 청황 | :8 니나* | :2 청중 :6 노라 :8 청협 | :2 청임 떠이어표 :6 니나* :8 청중 | :2 청임 떠이어표 :5 청무 |  
 :0 청임 떠이어표 | :8 니나* | :2 청중 :6 노라 :8 청협 | :0 청황 | :8 니나* | :0 청중 | :2 청임 흘림표 :5 청무 | :8 노라 | :0 청임 떠이어표 |  |  | :8 니나* | :0 청협 | :8 청임 | :2 청무 :8 노라 | :0 청임 떠이어표 |  | :0 청무 끊는표 | :0 청임 떠이어표 | :6 노 :8 청무 느니-르 
 :2 청중 :5 쉼표 :8 청중 |  |  |  |  |  | :0 청임 떠이어표 | :6 니나* :8 청중 | :2 청임 흘림표 :5 청무 | :8 노라 | :0 청임 떠이어표 | :8 니나* | :0 청중 | :8 느니 | :0 청임 떠이어표 | :9 니나* | :0 청무 | :9 니나* | :0 청임 | :6 노 :8 청무 느니-르 
 :2 청중 :5 쉼표 :8 청중 |  |  |  |  |  | :1 청황 노니로 :3 청중 | :6 노라 :8 청협 | :0 청황 | :6 니나* :8 무 흘림표 | :0 임 느로니르 | :2 중 :8 임 나니나 | :2 청태 나니로 :5 청황 니나 | :8 니나* | :0 청중 |  | :6 노라 :8 청협 | :2 청황 :6 니나* :8 청중 | :2 청임 떠이어표 :6 니나* :8 청중 | :2 청임 흘림표 :5 청무 
 :0 청임 떠이어표 | :8 니나* | :2 청중 :6 노라 :8 청협 | :0 청황 | :8 니나* | :0 청중 끊는표 | :2 청임 흘림표 :5 청무 | :8 노라 | :0 청임 떠이어표 |  |  | :8 니나* | :0 청협 | :8 청임 | :2 청무 :8 노라 | :0 청임 떠이어표 |  | :0 청무 끊는표 | :0 청임 떠이어표 | :6 노 :8 청무 느니-르 
 :0 청중 | :8 니 | :0 청협 | :0 - 흘림표 | :2 청황 :8 니나* | :0 청중 끊는표 | :0 청임 떠이어표 | :6 니나* :8 청중 | :2 청임 흘림표 :5 청무 | :8 노라 | :0 청임 떠이어표 | :8 니나* | :0 청중 | :6 노라 :8 청협 | :2 청황 :8 니나* | :2 청중 :8 느니 | :0 청임 떠이어표 | :8 니나* | :2 청중 :8 청임 | :2 청무 :8 노라 
 :0 청임 떠이어표 | :6 노 :8 청무 느니-르 | :2 청중 :5 쉼표 :8 청중 |  |  | :8 느니 | :0 청임 떠이어표 | :8 니나* | :2 청협 미는표 :5 청중 | :6 노라 :8 청협 | :0 청황 | :8 니나* | :0 청중 |  |  |  | :6 노라 :8 청협 | :2 청황 :6 니나* :8 청중 | :2 청임 떠이어표 :6 니나* :8 청중 | :2 청임 흘림표 :5 청무 
 :0 청임 떠이어표 | :8 니나* | :2 청중 :6 노라 :8 청협 | :0 청황 | :8 니나* | :0 청중 끊는표 | :2 청임 흘림표 :5 청무 | :8 노라 | :0 청임 떠이어표 |  |  | :8 니나* | :0 청중 | :8 느니 | :0 청임 | :0 청무 반길이표 | :2 청임 떠이어표 :8 니나* | :2 청중 :6 노라 :8 청협 | :2 청황 :8 니나* | :2 청중 :8 느니 
 :0 청임 떠이어표 | :8 니나* | :2 청중 :6 노라 :8 청협 | :0 청황 | :8 니나* | :0 청중 끊는표 | :2 청임 흘림표 :5 청무 | :0 - 흘림표 | :2 청임 :8 니나* | :2 청중 :8 느니 | :0 청임 떠이어표 | :8 니나* | :0 청중 | :8 느니 | :0 청임 떠이어표 | :9 니나* | :0 청무 | :9 니나* | :0 청임 | :6 노 :8 청무 느니-르 
 :2 청중 :5 쉼표 :8 청중 |  |  |  |  |  | :0 청협 | :6 니 :8 청협 | :0 청황 | :2 청협 미는표 :5 청중 :9 느니 | :0 청임 떠이어표 |  |  | :6 노 :8 청무 느니-르 | :2 청중 :5 쉼표 :8 청중 |  | :6 노라 :8 청협 | :2 청황 :6 니나* :8 청중 | :2 청임 떠이어표 :6 니나* :8 청중 | :2 청임 흘림표 :5 청무 
  |  | :2 청임 떠이어표 :8 니나* | :2 청중 :6 노라 :8 청협 | :0 청황 |  | :2 청중 :5 청임 떠이어표 |  |  | :8 니나* | :0 청협 | :7 청임 :9 청무 | :0 청임 떠이어표 |  | :2 청임 흘림표 :5 청무 | :9 니나* | :0 청임 떠이어표 | :8 니나* | :2 청중 :8 청임 | :2 청무 :8 노라 
 :0 청임 떠이어표 |  |  | :6 노 :8 청무 느니-르 | :0 청중 | :6 노라 :8 청협 | :2 청황 :8 니나* | :2 청중 :8 느니 | :0 청임 떠이어표 | :8 니나* | :2 청협 미는표 :5 청중 | :6 노라 :8 청협 | :0 청황 나니로 | :8 니나* | :0 청중 |  | :6 노라 :8 청협 | :2 청황 :6 니나* :8 청중 | :2 청임 떠이어표 :6 니나* :8 청중 | :2 청임 흘림표 :5 청무 
  |  |  | :8 노라 | :0 청임 떠이어표 |  |  | :8 니나* | :2 청중 :6 노라 :8 청협 | :2 청황 :6 니나* :8 청중 | :0 청임 떠이어표 | :8 니나* | :0 청중 | :8 느니 | :0 청임 떠이어표 | :9 니나* | :0 청무 | :9 니나* | :0 청임 | :6 노 :8 청무 느니-르 
 :2 청중 :5 쉼표 :8 청중 |  |  |  |  |  | :1 청황 노니로 :3 청중 | :6 노라 :8 청협 | :0 청황 | :6 니나* :8 무 | :0 임 | :2 중 :8 임 나니나 | :2 청태 나니로 :5 - 흘림표 :8 청황 니나 | :8 니나* | :0 청중 |  | :6 노라 :8 청협 | :2 청황 :6 니나* :8 청중 | :2 청임 떠이어표 :6 니나* :8 청중 | :2 청임 흘림표 :5 청무

:2 중 :5 무 | :0 무 미는표 | :2 협 미는표 :8 임 :9 노 | :0 청황 | :0 청황 노니로 | :0 - 흘림표 | :0 무 | :8 - 흘림표 루러표 | :0 임 |  | :0 무 | :2 겹요성표 | :0 임 서침표 미는표 | :2 협 :5 - 미는표 :8 임 :9 노 | :0 청황 |  | :0 무 흘림표 | :0 쉼표 | :2 임 :5 청황 |  
 :0 임 서침표 | :8 임 서침표 | :0 중 |  |  |  | :0 중 | :6 노 :8 임 | :0 청황 |  | :0 임 서침표 | :8 임 서침표 | :0 중 |  |  |  | :0 쉼표 |  |  |  
