:2 청황 :8 니나* | :0 임 흘림표 | :0 - 풀어내림표 | :2 같은음표 니나 :8 니나* | :0 중 | :0 황 니레 
 :1 임 :3 중 :5 무 느니-르 | :0 중 |  | :0 중 | :8 느니 | :2 임 :8 니나* 
 :0 중 | :8 니레나 | :0 태 흘림표 | :0 황 | :8 배임 노니로 | :0 황 
 :0 중 | :0 임 니레 | :2 무 :8 임 | :2 중 :8 임 니레 | :0 청황 | :8 무 흘림표 
 :0 임 |  | :0 무 느니-르 | :0 청황 | :2 청태 니레 :8 니나* | :2 청황 :8 무 흘림표 
 :0 임 | :6 니나* :8 중 | :0 무 노네 흘림표 | :2 임 :8 니나* | :2 중 :9 리 | :1 임 :3 중 :5 태 
 :0 황 | :0 태 니레 흘림표 | :2 황 :5 중 | :2 임 니레 :8 니나* | :0 중 | :0 황 노니로 
 :2 임 니레 :8 니나* | :0 중 |  | :2 임 니레 :9 노 | :1 태 :3 황 :5 중 :7 임 :9 중 | :0 황 니레 
 :2 임 :8 니나* | :0 중 | :8 니레나 | :0 태 | :8 니나* | :0 황 
 :2 태 :8 니나* | :2 황 :5 중 | :2 임 니레 :8 니나* | :0 중 |  | :2 임 니레 :9 노 
 :2 황 :8 니나* | :0 중 |  | :0 중 | :8 느니 | :2 임 :8 노 
 :2 황 :8 니나* | :0 중 | :2 임 니레 :6 노 :8 태 흘림표 | :0 황 | :8 배임 노니로 | :0 황 
 :0 중 | :0 임 니레 | :2 무 :8 임 | :2 중 :8 임 니레 | :0 청황 | :8 무 
 :0 임 노니로 |  | :0 무 느니-르 | :0 청황 | :2 청태 니레 :8 니나* | :2 청황 :8 노 
 :0 임 | :6 니나* :8 중 | :0 무 노네 흘림표 | :2 임 :8 니나* | :2 중 :9 리 | :1 임 :3 중 :5 태 
 :0 황 | :0 태 니레 | :2 황 :5 중 | :2 임 니레 :8 니나* | :0 중 | :0 황 니레 
 :2 임 니레 :8 니나* | :0 중 |  | :2 임 :9 노 | :12 태 :13 황 :11 중 나니나 | :0 황 니레 
 :2 임 :8 니나* | :0 중 | :8 니레나 | :0 태 | :8 니나* | :0 황 
 :2 태 :8 니나* | :2 황 :5 중 | :2 임 니레 :8 니나* | :0 중 |  | :2 임 니레 :8 니나* 
 :0 중 |  | :6 니나* :7 태 :9 황 | :0 중 |  | :6 니나* :7 태 :9 황 
 :2 임 니레 :9 노 | :1 태 :3 황 :5 중 | :0 임 니레 | :8 니나* | :2 중 :9 리 | :1 임 :3 중 :5 태 :8 - 흘림표 
 :2 황 :5 중 | :2 임 니레 :9 노 | :2 황 노니로 :8 니나* | :0 중 | :12 태 :13 황 :11 중 나니나 | :0 황 노니로 
 :2 임 나니로 :8 니나* | :0 중 | :0 임 니레 | :8 니나* | :2 중 :9 리 | :1 임 :3 중 :5 태 
 :0 황 | :2 태 니레 :9 배임 노니로 | :2 황 :8 니나* | :0 중 | :8 느니 | :0 임 
 :0 청황 | :8 무 | :0 임 | :8 니나* | :2 중 :8 니레나 | :0 태 
 :2 황 :5 중 | :2 임 니레 :9 노 | :2 황 노니로 :8 니나* | :0 중 | :12 태 :13 황 :11 중 나니나 | :0 황 노니로 
 :0 청황 | :8 무 | :0 임 | :2 무 :8 임 | :2 중 :8 느니 | :0 임 
 :0 청황 | :8 무 | :0 임 | :2 무 :8 임 | :2 중 :8 느니 | :2 임 :8 니나* 
 :0 청황 | :2 청태 니레 :9 노 | :0 무 | :5 - 흘림표 :8 임 나니나 | :2 중 :9 리 | :1 임 :3 중 :5 태 
 :2 황 :5 중 | :2 임 니레 :9 노 | :2 황 노니로 :8 니나* | :0 중 | :0 무 네로네 | :2 임 :9 노 
 :2 임 니레 :9 노 | :0 황 노니로 | :2 중 :8 느니 | :0 임 노니로 |  | :8 쉼표 
 :0 임 | :9 니 | :5 중 :9 노 | :0 임 |  | :0 무 
 :0 임 | :9 니 | :5 중 :9 노 | :0 임 |  | :0 무 
 :0 임 | :0 중 | :0 무 | :11 노라 | :0 무 | :11 노라 
 :0 임 | :10 중 :15 태 | :10 황 :11 임 | :0 중 | :11 노라 | :0 중 
 :0 임 니레 | :10 중 :15 태 | :0 황 | :0 중 | :10 임 니레 :15 중 | :10 황 :11 중 
 :0 임 니레 | :11 중 | :0 무 | :10 임 :11 니나* | :5 중 :9 니 | :0 태 
 :0 황 | :10 태 니레 :15 황 | :10 배무 :15 배임 | :0 황 | :10 태 :11 니나* | :10 황 :11 중 
 :0 임 니레 | :15 무 | :0 중 | :10 임 :11 청황 | :0 같은음표 니레 | :11 무 
 :0 임 |  | :10 임 :11 니나* | :0 청황 | :0 청태 니레 | :10 청황 :15 무 
 :0 임 | :0 청황 | :11 무 | :0 임 | :0 청황 | :11 무 
 :0 임 | :11 중 | :0 무 | :11 노라 | :0 임 | :10 중 :15 노 
 :0 황 | :0 중 | :10 임 니레 :15 노 | :10 황 :15 배임 | :10 황 :11 니나* | :10 중 :11 임 
 :0 청황 | :10 임 :11 니나* | :10 중 :15 무 | :10 임 :11 니나* | :0 중 | :10 황 노니로 :11 쉼표 
 :0 임 | :0 청황 | :0 같은음표 니레 | :0 청중 | :0 청태 | :2 청황 :8 니나* 
 :0 무 | :10 같은음표 니레 :15 임 | :10 청황 :15 임 | :0 청황 | :10 중 :11 느니 | :0 임 
