:0 황 |  | :0 중 |  | :11 무 | :0 임 | :0 중 |  | :0 같은음표 | :0 황 니레 |  |  
 :0 중 |  |  | :0 황 니레 |  | :0 니나* | :0 중 |  |  | :0 황 노니로 |  |  
 :0 중 |  | :0 황 | :0 중 | :14 무 :15 임 | :0 중 | :0 무 노네 |  | :0 임 노니로 | :0 중 |  |  
 :0 임 니레 |  | :0 중 | :0 무 노네 |  | :0 임 노니로 | :0 중 |  | :0 느니 | :0 임 | :11 니나* | :0 중 
 :10 임 :11 청황 |  |  |  | :11 청중 | :10 청태 :11 청황 | :0 임 | :11 니나* | :0 중 | :0 황 | :11 배임 노니로 | :0 황 
 :0 중 |  | :0 황 | :0 중 | :11 무 | :0 임 | :0 중 |  | :0 무 느니-르 | :0 중 | :11 무 | :0 임 
 :0 청황 | :11 청중 | :10 청태 :11 청황 | :0 임 | :11 니나* | :0 중 | :0 임 |  | :0 니나* | :0 청황 |  |  
 :0 청황 |  |  | :0 청황 니레 |  |  | :0 청태 니레 |  | :0 - 겹흘림표 | :0 청황 니나 |  | :0 니레나 
 :0 청중 |  |  | :0 청태 |  | :0 같은음표 | :0 청황 | :11 청중 | :0 청태 | :0 청황 | :11 청태 | :0 청황 
 :0 임 | :0 - 흘림표 | :0 중 | :0 청황 | :11 청태 | :0 청황 | :0 임 | :11 중 | :0 청태 | :0 청황 | :11 청중 | :0 청황 
 :0 임 | :0 - 흘림표 | :0 중 | :0 청황 | :11 청태 | :0 청황 | :0 임 | :11 중 | :0 청태 | :0 청황 | :11 청중 | :0 청황 
 :0 임 | :0 - 흘림표 | :0 중 | :0 임 | :0 - 흘림표 | :0 중 | :0 임 | :11 중 | :0 무 노네 | :0 임 노니로 | :0 - 흘림표 | :0 중 
 :0 임 | :0 - 흘림표 | :0 중 | :0 임 | :0 - 흘림표 | :0 중 | :0 임 | :11 중 | :0 무 노네 | :0 임 노니로 | :11 중 | :0 태 
 :10 중 :11 느니 | :0 임 |  |  |  |  |  |  |  |  |  | :0 쉼표 
 :0 중 |  |  | :0 중 니레 |  | :0 임 | :0 청황 | :11 청중 | :10 청태 :11 청황 | :0 임 노니로 | :11 니나* | :0 중 
 :0 황 노니로 |  | :0 중 |  | :11 무 | :10 임 :11 중 | :0 태 | :11 황 | :10 배무 :15 배임 노니로 | :0 황 |  |  
 :0 황 |  | :0 니나* | :0 중 | :11 무 | :10 임 :11 중 | :0 태 | :11 황 | :10 배무 :15 배임 노니로 | :0 황 |  |  
