:0 청중 |  | :0 청협 | :0 청황 | :11 청임 | :10 청중 :11 청협 끊는표 | :0 청황 | :11 니나* | :0 청중 | :0 청임 | :15 청무 | :5 청임 :9 노 
 :0 청협 노니로 |  |  | :0 청협 니레 | :15 청황 | :0 무 흘림표 | :0 임 | :11 니나* | :0 청황 | :10 청협 미는표 :11 청중 |  |  
 :0 청중 |  |  | :0 청황 니레 | :11 무 | :0 임 노니로 | :0 청황 | :11 청협 | :0 청황 | :10 청협 미는표 :11 청중 |  |  
 :0 청중 | :15 청협 | :0 청황 | :0 청협 |  | :0 청임 | :0 청중 | :15 청협 | :0 청황 | :0 청협 |  | :0 청임 
 :0 청중 | :15 청협 | :0 청황 | :0 청협 |  | :0 청임 | :0 청임 니레 | :15 청중 | :10 청협 :11 니나* | :0 청황 |  | :0 청협 
 :10 청임 :11 청무 |  | :0 - 흘림표 | :0 청임 떠이어표 |  |  | :0 청임 니레 | :9 니 | :0 청협 | :0 청임 |  | :0 청무 흘림표 
 :0 청임 | :9 니 | :0 청협 흘림표 | :0 청임 |  | :0 청무 흘림표 | :0 청임 | :9 노 | :0 청임 떠이어표 | :0 청무 | :0 - 미는표 | :0 중청황 
 :0 청중 | :15 청협 | :0 청황 | :0 청협 | :0 청중 | :0 청임 | :0 청임 니레 | :0 청중 | :0 청임 떠이어표 | :0 청중 | :0 청중 | :0 청임 
 :0 청협 | :0 청황 |  | :0 청협 | :15 청황 | :0 무 흘림표 | :0 임 | :11 니나* | :0 청황 | :0 청협 | :11 청황 | :0 청중 
 :0 청임 떠이어표 |  |  | :0 청임 니레 | :11 청중 | :0 청임 떠이어표 | :0 청무 | :0 - 흘림표 | :0 청임 나니나 | :10 청협 미는표 :11 청중 | :11 청협 | :0 청황 
 :0 청임 | :15 청중 | :10 청협 :11 니나* | :0 청황 |  | :0 청협 | :0 청임 | :11 니나* | :0 청중 | :0 청임 |  | :0 청무 
 :0 임 | :11 니나* | :0 청황 | :0 청협 | :11 청황 노니로 | :0 청중 | :0 청임 | :11 니나* | :12 청중 :13 청협 | :0 청황 |  | :0 청협 
 :0 청임 |  |  | :0 청임 니레 | :11 청중 | :0 청임 떠이어표 | :0 청무 | :0 - 흘림표 | :0 청임 나니나 | :10 청협 미는표 :11 청중 | :11 청협 | :0 청황 
 :0 청임 | :15 청무 | :0 청임 | :10 청협 미는표 :11 청중 |  | :0 청협 | :0 청황 | :11 니나* | :0 청중 | :0 청임 | :9 니 | :10 청임 :15 노 
 :0 청협 나니나 |  |  | :0 청협 니레 | :11 청황 | :0 무 | :0 임 | :11 니나* | :0 청황 | :10 청협 미는표 :11 청중 |  | :0 청임 
 :0 청무 | :0 - 흘림표 | :0 청임 | :0 같은음표 | :11 청무 | :0 청임 나니나 | :0 청중 | :11 청협 | :0 청황 노니로 | :0 청협 미는표 | :0 청중 | :10 청임 :15 니 
 :0 청임 떠이어표 |  |  | :0 청협 | :0 청임 | :0 청무 흘림표 | :0 청임 | :11 청중 | :10 청협 :11 니나* | :0 청황 | :11 임 노니로 | :0 청황 
 :10 청협 :11 청황 |  | :11 임 | :0 청황 |  | :0 청협 | :10 청협 :11 청황 |  | :11 임 | :0 청황 |  | :0 청협 
 :0 청임 떠이어표 |  |  | :0 청임 니레 | :11 청중 | :0 청임 떠이어표 | :0 청무 |  | :0 - 흘림표 | :0 청임 | :11 청중 | :0 청협 
 :0 청임 | :11 니나* | :0 청중 | :0 청중 니레 |  |  | :0 청임 |  | :0 청무 | :0 청중 | :0 - 흘림표 | :0 청태 
 :0 청임 | :11 청무 | :0 청중 | :0 청중 니레 | :0 - 흘림표 | :0 청태 | :0 청임 | :11 청무 | :0 청중 | :0 청중 니레 |  | :0 청무 
 :10 청중 :11 청무 |  |  | :0 청중 |  | :0 청무 흘림표 | :0 청임 | :11 청중 | :10 청협 :11 니나* | :0 청황 | :11 임 노니로 | :0 청황 
 :0 청협 미는표 | :0 청중 | :0 청임 | :0 청무 | :0 - 흘림표 | :0 청임 | :0 청임 니레 | :11 청중 | :10 청협 :15 노 | :0 청임 |  | :0 청무 
