:0 쉼표 |  |  |  |  |  |  |  |  | :9 니로나 | :0 청태 나니로 |  |  |  | :0 청태 니레 | :2 청황 니나 :8 청태 니레 | :0 청임 떠이어표 |  | :0 같은음표 니레 | :8 청중 흘림표 
 :0 청태 나니로 |  | :2 같은음표 니레 :6 노 :8 청중 느니-르 | :2 청황 :8 청태 니레 | :0 청임 떠이어표 |  | :2 청임 떠이어표 :5 청남 니레 |  | :0 같은음표 흘림표 | :2 청임 :6 니나* :8 청중 흘림표 | :2 청태 느로니르 :6 노 :8 청중 느니-르 | :2 청황 :8 청태 니레 | :2 청임 :8 니나* | :1 청태 :3 청황 :8 청태 니레 | :2 청임 떠이어표 :8 청남 니레 | :2 청임 :6 니나* :8 청태 나니나 | :0 청황 | :6 니나* :8 남 | :2 임 :6 니나* :8 청황 | :2 청태 니레 :6 니나* :8 청황 
 :2 청중 늘임표 :7 노라 :9 같은음표 | :2 임 니레 :6 남 니레 :8 임 나니나 | :0 청황 |  |  | :6 청태 니레 :7 청황 :9 쉼표 | :2 임 노니로 :5 청황 | :8 니레나 | :1 임 :3 남 :5 - 겹흘림표 :8 임 니나 | :1 청태 :3 청황 :8 청태 니레 | :2 청임 떠이어표 :8 청남 니레 | :2 청임 :6 니나* :8 청태 나니나 | :0 청황 | :8 느니 | :2 청태 노니로 :5 - 흘림표 :8 청황 나니나 | :2 임 니레 :6 남 니레 :8 임 | :0 청황 | :2 같은음표 :7 니레나 :9 노라 | :1 노라 :3 황 :7 중 노네 :9 노라 | :2 임 노니로 :8 쉼표 
 :0 청태 나니로 | :6 노 :8 청중 느니-르 | :0 청황 | :7 청태 니레 :9 청황 | :0 남 흘림표 | :2 임 :8 니나* | :2 청황 :8 청태 니레 | :2 청황 :8 느니 | :2 청태 :8 같은음표 나니나 | :2 청황 미는표 :6 니 :8 남 | :2 임 :8 남 니레 | :2 임 :6 남 :8 임 | :0 청태 나니로 | :6 노 :8 청중 느니-르 | :2 청황 :8 니레나 | :0 임 노니로 | :2 청태 니레 :6 노 :8 청중 느니-르 | :2 청황 :8 청태 니레 | :2 청임 :6 니나* :8 청중 | :2 청황 니레 :6 니나* :8 남 
 :2 임 :7 남 니레 :9 태 | :2 임 :6 남 니레 :8 임 나니나 | :0 청황 |  |  | :6 청태 니레 :7 청황 :9 쉼표 | :2 임 노니로 :5 청황 |  | :2 청태 니레 :6 노 :8 남 | :2 임 :6 니 :8 임 | :0 청태 나니로 | :6 노 :8 청중 느니-르 | :0 청황 | :7 청태 니레 :9 청황 | :0 남 흘림표 | :2 임 니나 :6 남 니레 :8 임 | :0 청황 | :2 같은음표 :7 니레나 :9 노라 | :1 노라 :3 황 :7 중 노네 :9 노라 | :2 임 노니로 :8 쉼표 
 :0 남 니레 | :6 니나* :8 청황 | :0 중 흘림표 | :0 남 니레 | :2 청황 :8 느나르나니 | :2 청태 노니로 :6 니 :7 청태 :9 청황 | :0 남 느로니르 |  | :0 남 니레 | :2 임 니나 :6 니나* :8 중 | :2 청태 니레 :6 노 :8 청중 느니-르 | :2 청황 :8 청태 니레 | :2 청임 :8 니나* | :1 청태 :3 청황 :8 청태 니레 | :2 청임 떠이어표 :8 청남 니레 | :2 청임 :6 니나* :8 청태 나니나 | :0 청황 | :6 니나* :8 남 | :2 임 :6 니나* :8 청황 | :2 청태 니레 :6 니나* :8 청황 
 :2 청중 늘임표 :7 노라 :9 같은음표 | :2 임 니레 :6 남 니레 :8 임 나니나 | :0 청황 |  |  | :6 청태 니레 :7 청황 :9 쉼표 | :2 임 노니로 :5 청황 | :8 니레나 | :1 임 :3 남 :5 - 겹흘림표 :8 임 니나 | :1 청태 :3 청황 :8 청태 니레 | :2 청임 떠이어표 :8 청남 니레 | :2 청임 :6 니나* :8 청태 나니나 | :0 청황 | :8 느니 | :2 청태 노니로 :5 - 흘림표 :8 청황 나니나 | :2 임 니레 :6 남 니레 :8 임 | :0 청황 | :2 같은음표 :7 니레나 :9 노라 | :1 노라 :3 황 :7 중 노네 :9 노라 | :2 임 노니로 :8 쉼표 
 :2 청태 :5 청황 :8 청태 끊는표 | :0 청임 떠이어표 | :2 같은음표 니레 :8 청남 끊는표 | :1 청태 :3 청황 :8 청태 니레 | :2 청임 :8 청남 끊는표 | :2 청태 :6 노 :8 청중 느니-르 | :0 청황 | :8 니레나 | :1 임 :3 청황 :8 니레나 | :0 임 노니로 | :2 청태 니레 :6 노 :8 청중 느니-르 | :2 청황 :8 청태 니레 | :2 청임 :8 니나* | :1 청태 :3 청황 :8 청태 니레 | :2 청임 떠이어표 :8 청남 니레 | :2 청임 :6 니나* :8 청태 나니나 | :0 청황 | :6 니나* :8 임 니레 | :2 청황 :8 청태 니레 | :2 청임 :8 청중 흘림표 
 :2 청태 느로니르 :5 쉼표 :8 청태 |  |  |  |  | :6 니나* :7 청황 :9 쉼표 | :2 청태 니레 :5 - 흘림표 :8 청황 나니나 | :2 임 니레 :6 남 니레 :8 임 나니나 | :2 청황 :8 청태 니레 | :2 청임 :6 니나* :8 청중 흘림표 | :0 청태 느로니르 | :6 노 :8 청중 느니-르 | :0 청황 | :6 니나* :8 임 니레 | :0 청태 나니로 | :6 노 :8 청중 느니-르 | :0 청황 | :6 청중 :7 청태 :9 청황 | :2 남 :6 노 :8 청황 나니나 | :0 임 노니로 
 :2 임 :7 남 니레 :9 태 | :2 임 :6 남 니레 :8 임 나니나 | :0 청황 | :6 니나* :8 임 니레 | :0 청태 나니로 | :6 노 :8 청중 느니-르 | :0 청황 | :6 청중 :7 청태 :9 청황 | :0 남 흘림표 | :0 임 니나 | :2 청태 니레 :6 노 :8 청중 느니-르 | :2 청황 :8 청태 니레 | :0 청임 | :2 - 미는표 :6 니 :8 청태 | :0 청중 | :2 같은음표 니레 :5 - 흘림표 :8 청태 나니나 | :0 청황 | :6 니나* :8 남 | :2 임 :6 니나* :8 청황 | :2 청태 니레 :6 니나* :8 청황 
 :2 청중 늘임표 :7 노라 :9 같은음표 | :2 임 니레 :6 남 니레 :8 임 나니나 | :0 청황 |  |  | :6 청태 니레 :7 청황 :9 쉼표 | :2 임 노니로 :5 청황 | :8 니레나 | :1 임 :3 남 :5 - 겹흘림표 :8 임 니나 | :1 청태 :3 청황 :8 청태 니레 | :2 청임 떠이어표 :8 청남 니레 | :2 청임 :6 니나* :8 청태 나니나 | :0 청황 | :8 느니 | :2 청태 노니로 :5 - 흘림표 :8 청황 나니나 | :2 임 니레 :6 남 니레 :8 임 | :0 청황 | :2 같은음표 :7 니레나 :9 노라 | :1 노라 :3 황 :7 중 노네 :9 노라 | :2 임 노니로 :8 쉼표 
