:0 청황 |  | :0 청협 | :0 무 | :11 청황 | :0 무 흘림표 | :0 임 | :11 중 | :0 태 | :0 황 | :11 중 | :0 태 
 :0 임 | :11 중 | :0 청황 | :0 무 |  | :0 청협 | :0 무 | :11 청황 | :0 청협 | :0 무 | :15 청황 | :0 무 흘림표 
 :0 청황 |  | :11 임 | :0 무 | :15 청황 | :0 무 | :0 청황 | :15 무 | :0 임 | :0 임 니레 | :11 중 | :0 태 
 :0 청황 |  | :11 임 | :0 무 | :15 청황 | :0 무 | :0 청황 | :15 무 | :0 임 | :0 임 니레 | :11 중 | :0 태 
 :0 청황 | :11 청협 | :0 임 | :0 무 | :15 청황 | :0 무 | :0 청황 | :0 중 | :0 임 니레 | :0 임 니레 | :11 중 | :0 태 
 :0 임 | :15 중 | :0 청황 | :0 무 | :11 청황 | :0 임 나니나 | :0 중 | :11 태 | :0 황 | :0 임 | :11 중 | :0 무 느니-르 
 :0 중 |  |  |  | :15 무 | :10 임 :15 중 | :0 태 | :11 황 | :0 임 나니나 | :0 중 |  | :11 쉼표 
 :0 청황 | :11 무 | :0 청협 | :0 무 | :15 청황 | :0 무 흘림표 | :0 임 | :11 중 | :0 태 | :0 임 | :11 무 | :0 임 
 :0 청협 | :11 무 | :0 청협 | :0 무 | :15 청황 | :0 무 흘림표 | :0 임 | :11 중 | :0 태 | :0 임 나니로 |  |  
 :0 무 |  | :0 같은음표 니레 | :0 청협 |  | :0 같은음표 | :0 무 |  | :0 청협 | :0 무 | :15 청황 | :0 무 흘림표 
 :0 임 | :11 중 | :0 태 | :0 임 |  | :11 태 | :0 중 | :11 임 | :0 태 나니나 | :0 황 | :15 중 | :0 태 
 :0 임 나니로 |  |  |  |  | :0 임 니레 | :0 중 | :11 임 | :0 태 나니나 | :0 황 | :15 중 | :0 태 
 :0 중 | :0 - 겹흘림표 | :0 임 니레 | :0 임 니레 |  | :0 청황 | :0 중 | :0 - 겹흘림표 | :0 임 니레 | :0 임 니레 |  | :0 청황 
 :10 임 :11 청황 |  |  | :0 청황 니레 | :11 무 | :10 청황 :15 무 | :0 임 | :11 중 | :0 청황 나니나 | :0 무 |  |  
 :0 무 |  | :0 같은음표 니레 | :0 청협 |  | :0 같은음표 | :0 무 |  | :0 청협 | :0 무 | :15 청황 | :0 무 
 :0 임 | :11 중 | :0 태 | :0 임 |  | :11 태 | :0 중 | :11 임 | :0 태 나니나 | :0 황 | :15 중 | :0 태 
